AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,10.60,9.380,0.00,0.00,18.18,13.04,14.82
25-29,0.00,13.60,20.00,0.00,40.00,18.55,16.00,16.93
30-34,0.00,17.48,18.18,0.00,0.00,28.51,26.67,24.97
35-39,0.00,18.13,10.00,0.00,0.00,28.33,21.74,24.79
40-44,0.00,20.63,11.11,0.00,0.00,34.94,13.79,29.80
45-49,16.67,19.91,11.11,0.00,0.00,40.71,12.90,33.21
50-54,25.00,27.87,25.00,0.00,12.50,42.38,14.29,36.82
55-59,0.00,31.84,0.00,0.00,0.00,42.63,10.71,37.95
60-64,0.00,33.17,0.00,0.00,0.00,46.36,37.50,41.85
65-OVER,0.00,37.91,16.67,0.00,0.00,50.00,28.00,46.77
TOTAL,5.260,23.87,12.62,0.00,6.980,37.72,19.06,32.78
