AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,40.00,7.14,8.70,50.00,28.57,20.64,12.22,18.94
25-29,25.00,0.00,16.67,0.00,50.00,20.36,15.66,19.90
30-34,0.00,12.50,26.32,0.00,50.00,27.18,22.22,26.56
35-39,25.00,0.00,16.67,100.0,33.33,31.13,17.39,30.32
40-44,12.50,0.00,16.67,0.00,40.00,33.45,19.30,32.36
45-49,33.33,37.50,17.65,0.00,40.00,38.55,30.16,37.88
50-54,0.00,40.00,36.36,0.00,37.50,42.67,29.63,41.72
55-59,0.00,0.00,30.77,0.00,0.00,48.74,25.81,47.39
60-64,0.00,66.67,50.00,0.00,100.0,53.25,50.94,52.95
65-OVER,11.11,20.00,20.00,0.00,46.67,59.47,46.43,58.70
TOTAL,13.79,15.62,22.30,25.00,40.38,42.78,25.74,41.39
