PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,1.000
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0.00,2.000,4.000
A,0.00,4.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,1.000,0.00,88.00,83.00,0.00,109.0,92.00,379.0
B,0.00,14.00,24.00,0.00,6.000,2.000,0.00,1.000,2.000,0.00,7.000,5.000,0.00,7.000,6.000,0.00,650.0,514.0,1.000,1399.0,849.0,3487.0
CO,0.00,1.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.000,1.000,0.00,0.00,0.00,0.00,88.00,74.00,0.00,33.00,24.00,224.0
CS,0.00,0.00,4.000,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.0,109.0,0.00,31.00,23.00,276.0
CUBA,0.00,5.000,5.000,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,215.0,210.0,0.00,106.0,70.00,613.0
D,0.00,2.000,3.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.0,104.0,0.00,215.0,169.0,604.0
F,0.00,4.000,6.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,95.00,96.00,0.00,21.00,20.00,243.0
H,0.00,3.000,2.000,0.00,2.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,118.0,132.0,0.00,37.00,43.00,340.0
JAKIN,0.00,6.000,2.000,0.00,2.000,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1.000,0.00,0.00,197.0,177.0,0.00,77.00,58.00,522.0
L,0.00,7.000,5.000,0.00,0.00,2.000,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,163.0,171.0,0.00,128.0,93.00,571.0
U,0.00,1.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,101.0,80.00,0.00,28.00,23.00,235.0
TOTAL,0.00,47.00,54.00,0.00,11.00,6.000,0.00,1.000,3.000,0.00,12.00,9.000,0.00,9.000,9.000,0.00,1936.0,1751.0,1.000,2184.0,1466.0,7499.0
