PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BLACKROCK,0.00,30.57,24.81,0.00,20.00,38.46,0.00,0.00,0.00,0.00,38.89,46.67,0.00,16.67,9.09,0.00,48.78,52.10,0.00,45.18,35.32,42.13
BROOKS,0.00,32.71,35.64,0.00,66.67,100.0,0.00,0.00,0.00,0.00,25.00,33.33,0.00,50.00,33.33,0.00,52.31,51.74,0.00,37.50,35.29,49.76
EUROPE,0.00,41.97,38.89,0.00,26.32,23.81,0.00,0.00,0.00,0.00,16.67,0.00,0.00,6.67,8.33,0.00,46.94,49.69,0.00,50.58,42.21,45.21
FAYETTEVILLE EAST,0.00,26.15,25.26,0.00,16.67,22.22,0.00,100.0,100.0,0.00,20.00,28.57,0.00,20.00,0.00,0.00,44.05,43.53,0.00,34.19,25.54,36.60
FAYETTEVILLE WEST,0.00,30.65,26.37,0.00,16.67,28.57,0.00,0.00,0.00,0.00,28.57,30.00,0.00,31.25,0.00,50.00,44.53,41.81,0.00,31.97,20.54,36.22
FLINT,100.0,33.75,31.17,0.00,37.50,57.14,0.00,0.00,0.00,0.00,14.29,41.67,0.00,17.65,16.67,0.00,45.57,43.25,0.00,46.06,37.09,41.51
HOPEFUL,0.00,37.72,26.09,0.00,56.25,55.56,0.00,0.00,0.00,0.00,23.08,33.33,0.00,14.29,14.29,50.00,47.71,47.42,0.00,52.63,42.52,45.15
MORNING CREEK,0.00,31.98,29.01,0.00,26.09,30.00,0.00,0.00,0.00,0.00,34.78,23.81,0.00,22.73,21.43,0.00,49.24,48.74,0.00,43.19,40.78,43.14
RAREOVER,0.00,37.91,29.44,0.00,33.33,57.14,0.00,0.00,0.00,0.00,11.76,28.00,0.00,0.00,50.00,0.00,46.13,47.42,0.00,41.51,43.28,44.10
SANDY CREEK,0.00,30.12,31.91,0.00,36.67,37.04,0.00,0.00,0.00,0.00,15.22,24.53,0.00,26.09,28.12,100.0,42.89,46.22,0.00,44.91,38.09,40.72
SHAKERAG EAST,0.00,28.57,22.22,0.00,28.57,20.00,0.00,0.00,0.00,0.00,19.23,0.00,100.0,21.43,12.50,0.00,47.64,43.50,0.00,35.82,32.00,40.46
SHAKERAG WEST,0.00,36.00,28.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,40.00,22.22,0.00,20.00,50.00,0.00,48.08,49.70,0.00,40.00,23.08,46.20
STARRSMILL,0.00,40.31,38.38,0.00,11.11,42.31,0.00,0.00,0.00,0.00,22.73,28.57,0.00,25.00,13.33,0.00,46.28,44.10,0.00,41.90,38.14,43.51
WHITEWATER,0.00,37.56,30.81,0.00,37.50,37.50,0.00,33.33,0.00,0.00,30.77,31.25,0.00,41.67,13.33,0.00,46.33,42.46,0.00,51.18,41.27,42.88
WOOLSEY,0.00,48.08,41.07,0.00,33.33,0.00,0.00,0.00,0.00,0.00,28.57,9.09,0.00,11.11,18.18,0.00,51.42,52.26,0.00,34.43,31.58,49.39
MCINTOSH,50.00,31.22,28.86,0.00,38.10,25.00,0.00,0.00,0.00,0.00,19.35,35.29,0.00,20.41,24.24,0.00,46.74,40.32,0.00,55.12,40.86,41.44
OAK GROVE,0.00,32.88,38.16,0.00,25.00,40.00,0.00,100.0,0.00,0.00,40.00,56.25,0.00,40.00,33.33,0.00,44.31,42.80,0.00,36.36,25.00,41.97
KEDRON,0.00,25.00,22.67,0.00,23.68,25.93,0.00,0.00,0.00,0.00,15.49,10.94,0.00,9.23,12.07,0.00,35.13,35.43,0.00,26.06,24.19,30.45
ABERDEEN,0.00,32.08,32.63,0.00,40.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,7.14,18.18,50.00,46.92,46.88,0.00,29.73,27.27,42.85
WINDGATE,0.00,30.51,34.04,0.00,0.00,50.00,0.00,0.00,100.0,0.00,11.76,42.86,0.00,20.00,0.00,0.00,52.94,50.26,0.00,47.62,16.67,48.00
FLAT CREEK,0.00,33.14,24.49,0.00,38.46,0.00,0.00,0.00,0.00,0.00,28.89,30.43,0.00,11.76,18.75,0.00,40.93,38.38,0.00,22.58,11.58,35.04
BRAELINN,0.00,41.88,39.17,0.00,20.00,13.33,0.00,0.00,0.00,0.00,47.06,50.00,0.00,27.27,23.08,0.00,48.73,47.47,0.00,50.00,52.94,46.68
KENWOOD,0.00,44.64,28.33,0.00,37.50,60.00,0.00,0.00,0.00,0.00,33.33,40.00,0.00,75.00,60.00,0.00,45.86,40.77,0.00,48.77,35.69,42.40
BANKS,0.00,27.17,28.21,0.00,20.00,58.33,0.00,0.00,0.00,0.00,25.00,33.33,0.00,4.17,0.00,0.00,46.79,46.98,0.00,42.01,30.00,40.66
HARPS CROSSING,0.00,35.53,26.79,0.00,57.14,16.67,0.00,0.00,0.00,0.00,12.50,33.33,0.00,20.00,33.33,0.00,52.09,53.53,0.00,36.15,42.34,48.25
WILLOW POND,0.00,32.28,29.81,0.00,23.53,11.11,0.00,0.00,0.00,0.00,29.27,36.84,0.00,25.71,20.00,0.00,46.20,44.93,0.00,35.75,37.79,40.98
DOGWOOD,0.00,43.36,39.44,0.00,25.00,0.00,0.00,0.00,0.00,0.00,17.39,26.32,0.00,23.81,14.29,0.00,51.70,50.60,0.00,41.71,34.64,47.38
OAK RIDGE,100.0,29.73,23.58,0.00,42.86,53.85,0.00,0.00,0.00,0.00,37.50,25.00,0.00,33.33,12.50,0.00,49.46,48.52,0.00,49.87,39.75,44.56
