AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,6.37,10.69,0.0,2.7,11.11,0.0,100.0,0.0,50.0,4.08,7.32,0.0,7.14,0.0,40.0,15.02,15.02,0.0,5.73,3.32,10.66
25-29,0.0,11.03,6.07,0.0,13.33,12.0,0.0,0.0,0.0,0.0,16.67,2.38,0.0,23.53,7.14,0.0,12.97,13.14,0.0,7.49,2.95,10.21
30-34,0.0,14.91,10.65,0.0,13.04,7.14,0.0,100.0,0.0,0.0,9.09,10.34,0.0,14.29,0.0,50.0,18.8,18.21,0.0,11.98,5.87,15.22
35-39,0.0,17.67,16.34,0.0,10.53,6.67,0.0,0.0,0.0,0.0,22.86,0.0,0.0,4.76,7.69,0.0,24.55,24.71,0.0,15.23,7.18,20.21
40-44,0.0,22.27,20.86,0.0,9.09,10.0,0.0,0.0,100.0,0.0,2.5,6.9,0.0,13.04,0.0,0.0,24.89,28.4,0.0,15.95,11.32,22.49
45-49,33.33,22.02,17.76,0.0,18.75,7.69,0.0,0.0,0.0,0.0,17.5,13.51,0.0,16.67,15.38,0.0,29.46,30.4,0.0,17.43,14.39,25.59
50-54,0.0,22.81,23.23,0.0,18.75,33.33,0.0,0.0,0.0,0.0,15.79,16.67,0.0,35.0,13.33,0.0,33.06,36.44,0.0,20.35,13.98,29.46
55-59,0.0,27.66,27.38,0.0,22.73,38.1,0.0,100.0,0.0,0.0,19.35,31.03,0.0,33.33,29.41,100.0,41.62,40.83,0.0,23.1,20.13,35.83
60-64,0.0,42.13,32.37,0.0,12.5,83.33,0.0,0.0,0.0,0.0,21.43,33.33,0.0,41.67,16.67,100.0,47.6,47.97,0.0,28.78,29.11,43.63
65-OVER,33.33,42.12,47.04,0.0,13.33,31.03,0.0,0.0,100.0,0.0,30.0,25.0,0.0,25.0,22.73,25.0,51.28,56.61,0.0,31.72,28.76,49.79
TOTAL,10.0,22.98,22.32,0.0,12.56,21.47,0.0,42.86,18.18,50.0,14.8,13.78,0.0,20.33,11.81,42.86,35.91,37.98,0.0,17.92,13.81,30.66
