PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BREMEN,0.00,36.00,43.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,2.00,2.00,991.0,904.0,0.00,48.00,22.00,2058.0
BUCHANAN,0.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,387.0,372.0,0.00,17.00,7.00,799.0
BUNCOMBE,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,135.0,138.0,0.00,3.00,2.00,286.0
CORINTH,0.00,6.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.0,245.0,0.00,5.00,5.00,530.0
TWENTIETH,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,140.0,123.0,0.00,0.00,0.00,266.0
FELTON,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,51.00,0.00,0.00,0.00,105.0
LITTLE CREEK,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127.0,117.0,0.00,0.00,0.00,248.0
MT VIEW,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,53.00,0.00,0.00,0.00,110.0
SEVENTH,0.00,6.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.0,245.0,0.00,12.00,11.00,546.0
BEREA-STEADMAN,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,89.00,0.00,1.00,0.00,194.0
TALLAPOOSA,0.00,13.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,481.0,435.0,0.00,16.00,9.00,970.0
WACO,0.00,1.00,4.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.0,169.0,0.00,0.00,2.00,349.0
TOTAL,0.00,81.00,90.00,0.00,3.00,8.00,0.00,0.00,1.00,0.00,6.00,2.00,0.00,3.00,3.00,2.00,3161.0,2941.0,0.00,102.0,58.00,6461.0
