AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,62.0,61.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,3.0,1.0,7.0,674.0,607.0,0.0,45.0,29.0,1511.0
25-29,0.0,36.0,40.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,710.0,643.0,0.0,48.0,43.0,1533.0
30-34,0.0,31.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,1.0,0.0,611.0,511.0,0.0,36.0,22.0,1263.0
35-39,0.0,32.0,29.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,2.0,4.0,0.0,587.0,512.0,0.0,31.0,20.0,1234.0
40-44,0.0,35.0,34.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,5.0,0.0,710.0,587.0,0.0,34.0,16.0,1436.0
45-49,0.0,28.0,33.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,4.0,1.0,0.0,849.0,726.0,0.0,35.0,33.0,1724.0
50-54,0.0,42.0,26.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,747.0,701.0,0.0,52.0,21.0,1603.0
55-59,0.0,20.0,31.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,673.0,673.0,0.0,34.0,39.0,1484.0
60-64,0.0,17.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,625.0,548.0,0.0,28.0,31.0,1289.0
65-OVER,0.0,39.0,37.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,10.0,0.0,1892.0,1513.0,0.0,78.0,51.0,3635.0
TOTAL,0.0,342.0,351.0,0.0,27.0,24.0,0.0,3.0,6.0,0.0,38.0,24.0,0.0,34.0,31.0,7.0,8078.0,7021.0,0.0,421.0,305.0,16712.0
