AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,50.00,3.29,16.67,0.00,0.00,18.88,14.29,15.31
25-29,0.00,5.78,0.00,0.00,0.00,19.20,17.31,15.58
30-34,0.00,8.33,20.00,0.00,0.00,24.01,10.81,19.79
35-39,16.67,12.37,12.50,0.00,0.00,26.92,15.62,23.31
40-44,20.00,12.44,14.29,0.00,33.33,31.10,21.95,26.67
45-49,0.00,20.98,30.00,0.00,100.0,37.44,28.21,33.65
50-54,9.09,21.15,25.00,0.00,100.0,38.63,20.00,34.69
55-59,18.18,28.50,50.00,0.00,0.00,45.60,36.84,42.39
60-64,10.00,34.30,16.67,0.00,0.00,48.75,44.12,46.25
65-OVER,5.26,35.71,28.57,100.0,40.00,51.52,40.91,49.45
TOTAL,9.57,19.54,19.23,25.00,16.67,39.70,25.47,35.59
