AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,41.0,43.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,4.0,8.0,0.0,1.0,1.0,2.0,379.0,366.0,0.0,121.0,92.0,1065.0
25-29,0.0,24.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,7.0,5.0,1.0,440.0,387.0,0.0,137.0,140.0,1181.0
30-34,0.0,16.0,21.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,396.0,283.0,0.0,119.0,85.0,940.0
35-39,0.0,15.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,2.0,0.0,384.0,318.0,0.0,118.0,76.0,944.0
40-44,1.0,20.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,4.0,0.0,391.0,355.0,0.0,127.0,82.0,1016.0
45-49,0.0,20.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,6.0,0.0,448.0,428.0,0.0,125.0,99.0,1159.0
50-54,0.0,13.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,6.0,0.0,564.0,505.0,0.0,156.0,104.0,1375.0
55-59,0.0,20.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,3.0,0.0,564.0,539.0,0.0,124.0,90.0,1373.0
60-64,0.0,20.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,7.0,0.0,589.0,531.0,0.0,100.0,72.0,1345.0
65-OVER,0.0,54.0,34.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,13.0,6.0,0.0,2065.0,1739.0,0.0,277.0,171.0,4372.0
TOTAL,1.0,243.0,231.0,0.0,11.0,19.0,0.0,2.0,2.0,1.0,40.0,37.0,0.0,51.0,43.0,3.0,6220.0,5451.0,0.0,1404.0,1011.0,14770.0
