PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
88888,0.00,66.67,0.00,0.00,0.00,300.0,100.0,171.43
99999,0.00,14.29,0.00,0.00,0.00,0.00,0.00,9.09
ANNX,27.94,30.37,14.66,100.0,20.00,40.58,18.46,36.54
BMS,15.48,31.22,37.07,33.33,16.92,39.08,24.03,36.15
CENT,7.86,27.07,11.63,12.50,16.22,31.98,15.80,28.91
CGTC,13.33,28.46,25.00,0.00,16.28,38.06,19.39,33.96
FMMS,17.07,27.92,21.93,25.00,21.11,30.80,19.59,28.64
HAFS,16.67,25.99,28.57,66.67,62.50,41.19,20.00,37.58
HCTC,16.47,18.53,6.78,0.00,11.11,29.14,11.16,24.26
HEFS,0.00,23.41,25.00,0.00,20.00,43.42,30.00,35.08
HHPC,20.63,20.64,9.66,0.00,14.06,30.87,10.17,25.16
MCMS,12.66,30.15,21.02,18.18,20.22,34.80,19.46,31.37
MILL,12.50,20.29,23.68,0.00,14.29,38.70,19.17,32.74
NSES,26.67,34.17,37.50,0.00,21.74,33.42,16.15,32.51
RECR,19.57,16.76,6.86,25.00,10.47,20.22,6.77,16.70
ROZR,12.80,23.53,15.00,12.50,6.67,37.95,21.11,32.82
TMS,13.59,19.73,16.79,0.00,10.71,26.67,14.73,22.40
TWPK,13.85,31.12,20.43,50.00,11.76,36.57,15.45,33.18
VHS,13.89,29.13,28.92,33.33,16.22,36.00,21.32,33.39
TOTAL,15.08,23.43,17.83,23.53,15.47,34.38,16.45,29.39
