PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
HAZLEHURST,0.00,32.92,6.25,0.00,0.00,30.19,10.34,30.47
ALTAMAHA 1,0.00,27.03,9.09,0.00,0.00,47.73,22.22,45.49
ALTAMAHA 2,0.00,20.00,11.11,0.00,50.00,38.93,26.32,38.22
BLACKBURN 1,50.00,23.93,12.50,0.00,0.00,28.77,9.09,26.75
BLACKBURN 2,0.00,16.67,50.00,0.00,0.00,36.38,30.77,36.06
WHITEHEAD 1,0.00,28.91,12.50,0.00,0.00,37.02,10.53,34.48
WHITEHEAD 2,0.00,21.88,16.67,0.00,0.00,35.51,28.57,34.31
OCMULGEE 1,0.00,24.34,40.00,0.00,40.00,44.23,18.75,41.30
OCMULGEE 2,0.00,30.00,0.00,0.00,0.00,30.58,0.00,29.93
TOTAL,7.69,29.88,14.74,0.00,12.50,37.60,17.05,35.46
