PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
0076,0.00,2.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,49.00,0.00,35.00,26.00,169.0
0077,0.00,7.000,1.000,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,74.00,0.00,27.00,14.00,204.0
0081,0.00,21.00,11.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,252.0,218.0,0.00,274.0,127.0,905.0
0082,0.00,25.00,11.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,290.0,306.0,0.00,427.0,207.0,1268.0
0083,0.00,5.000,3.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.000,0.00,0.00,1.000,0.00,0.00,108.0,96.00,0.00,254.0,102.0,571.0
0085,0.00,1.000,7.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,47.00,40.00,0.00,50.00,26.00,172.0
1460,0.00,4.000,4.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,69.00,0.00,37.00,14.00,218.0
1593,0.00,1.000,2.000,0.00,0.00,1.000,0.00,1.000,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,78.00,60.00,0.00,8.000,3.000,155.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,0.00,66.00,39.00,0.00,2.000,2.000,0.00,1.000,0.00,0.00,4.000,1.000,0.00,2.000,0.00,0.00,1002.0,912.0,0.00,1112.0,520.0,3663.0
