PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ANNEX,0.00,75.00,64.00,0.00,12.00,5.00,0.00,0.00,0.00,0.00,9.00,12.00,0.00,15.00,15.00,2.00,915.0,859.0,0.00,44.00,36.00,2063.0
COLHAM FERRY,3.00,47.00,54.00,0.00,5.00,7.00,0.00,0.00,1.00,0.00,5.00,4.00,0.00,9.00,1.00,0.00,728.0,670.0,0.00,17.00,10.00,1561.0
ANTIOCH,1.00,36.00,48.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,2.00,0.00,539.0,515.0,0.00,24.00,18.00,1196.0
FARMINGTON,1.00,12.00,29.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,269.0,247.0,0.00,24.00,23.00,611.0
BISHOP,0.00,89.00,94.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,7.00,9.00,0.00,698.0,642.0,0.00,49.00,51.00,1669.0
HIGH SHOALS,2.00,81.00,77.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,5.00,2.00,1.00,767.0,727.0,0.00,22.00,16.00,1718.0
NORTH OCONEE,0.00,29.00,37.00,0.00,5.00,2.00,0.00,0.00,1.00,0.00,10.00,11.00,0.00,13.00,12.00,1.00,442.0,407.0,0.00,16.00,15.00,1001.0
DARK CORNER,1.00,113.0,120.0,0.00,6.00,8.00,0.00,0.00,0.00,0.00,6.00,13.00,0.00,12.00,3.00,0.00,1067.0,1000.0,0.00,28.00,31.00,2408.0
BOGART,2.00,108.0,118.0,0.00,5.00,6.00,0.00,1.00,0.00,0.00,22.00,28.00,0.00,21.00,19.00,0.00,938.0,804.0,0.00,60.00,30.00,2162.0
MALCOM BRIDGE,4.00,191.0,166.0,0.00,10.00,17.00,0.00,1.00,1.00,0.00,27.00,20.00,0.00,42.00,40.00,1.00,1593.0,1376.0,0.00,55.00,41.00,3585.0
ATHENS ACADEMY,3.00,104.0,108.0,0.00,11.00,10.00,0.00,0.00,0.00,1.00,16.00,20.00,0.00,32.00,31.00,3.00,1039.0,1010.0,0.00,82.00,53.00,2523.0
CIVIC CENTER,7.00,145.0,158.0,0.00,8.00,13.00,0.00,1.00,1.00,0.00,24.00,17.00,0.00,45.00,37.00,2.00,1728.0,1551.0,0.00,77.00,56.00,3870.0
CITY HALL,3.00,61.00,43.00,0.00,5.00,9.00,0.00,0.00,0.00,0.00,15.00,11.00,0.00,15.00,5.00,0.00,781.0,621.0,1.00,64.00,52.00,1686.0
99999,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,4.00
TOTAL,27.00,1092.0,1116.0,0.00,79.00,91.00,0.00,3.00,4.00,1.00,160.0,150.0,0.00,217.0,176.0,10.00,11504.0,10430.0,1.00,564.0,432.0,26057.0
