AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,6.280,21.90,0.00,8.330,17.17,14.91,15.71
25-29,25.00,8.990,12.31,0.00,14.29,15.57,12.36,14.39
30-34,20.00,9.700,11.48,0.00,0.00,22.31,19.48,19.93
35-39,0.00,17.91,10.00,0.00,16.67,25.15,16.22,23.51
40-44,12.50,17.92,8.000,100.0,22.22,29.28,27.03,27.44
45-49,66.67,18.75,12.50,0.00,50.00,37.15,20.00,34.09
50-54,0.00,24.26,19.05,0.00,25.00,43.06,25.00,39.82
55-59,0.00,31.52,9.090,0.00,33.33,44.26,32.08,41.87
60-64,0.00,37.25,20.00,0.00,100.0,50.66,35.71,48.38
65-OVER,0.00,41.82,15.38,0.00,0.00,51.78,32.00,50.17
TOTAL,14.58,23.26,14.91,14.29,13.79,37.15,22.14,34.40
