PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,0.00,50.00,56.00,0.00,9.00,2.00,0.00,4.00,0.00,0.00,11.00,2.00,0.00,2.00,0.00,0.00,186.0,128.0,0.00,966.0,704.0,2120.0
02,1.00,35.00,41.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,7.00,2.00,0.00,1.00,0.00,0.00,107.0,85.00,0.00,976.0,670.0,1933.0
03,0.00,30.00,21.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,6.00,5.00,0.00,2.00,2.00,1.00,645.0,520.0,0.00,60.00,35.00,1332.0
04,0.00,23.00,19.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,2.00,0.00,1.00,579.0,506.0,0.00,47.00,48.00,1235.0
05,1.00,75.00,74.00,0.00,11.00,16.00,0.00,1.00,0.00,0.00,28.00,20.00,0.00,31.00,20.00,0.00,930.0,762.0,0.00,945.0,574.0,3488.0
06,1.00,34.00,59.00,0.00,5.00,4.00,0.00,2.00,0.00,0.00,11.00,4.00,0.00,4.00,3.00,0.00,345.0,217.0,0.00,959.0,580.0,2228.0
07,0.00,30.00,28.00,0.00,6.00,10.00,0.00,0.00,1.00,0.00,8.00,5.00,0.00,8.00,3.00,0.00,677.0,604.0,0.00,71.00,55.00,1506.0
08,0.00,25.00,40.00,0.00,3.00,2.00,0.00,0.00,1.00,0.00,4.00,4.00,0.00,3.00,1.00,0.00,689.0,585.0,0.00,151.0,95.00,1603.0
09,0.00,30.00,40.00,0.00,4.00,8.00,0.00,0.00,1.00,0.00,11.00,16.00,0.00,4.00,3.00,0.00,750.0,705.0,0.00,74.00,45.00,1691.0
10,1.00,38.00,29.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,11.00,4.00,1.00,609.0,536.0,0.00,258.0,184.0,1693.0
11,0.00,34.00,52.00,0.00,9.00,5.00,0.00,0.00,0.00,0.00,6.00,9.00,0.00,4.00,4.00,0.00,794.0,720.0,0.00,290.0,217.0,2144.0
12,0.00,31.00,32.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,2.00,0.00,628.0,564.0,0.00,84.00,69.00,1420.0
13,0.00,48.00,63.00,0.00,13.00,5.00,0.00,1.00,0.00,0.00,7.00,11.00,0.00,5.00,4.00,1.00,1055.0,985.0,0.00,61.00,51.00,2310.0
14,0.00,38.00,50.00,0.00,7.00,6.00,0.00,1.00,0.00,0.00,42.00,14.00,0.00,3.00,5.00,0.00,661.0,606.0,0.00,154.0,130.0,1717.0
15,0.00,13.00,10.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,4.00,0.00,0.00,0.00,0.00,260.0,259.0,0.00,5.00,1.00,559.0
16,0.00,46.00,57.00,0.00,16.00,9.00,0.00,1.00,0.00,0.00,20.00,16.00,0.00,17.00,11.00,0.00,602.0,509.0,1.00,704.0,503.0,2512.0
17,0.00,44.00,46.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,11.00,10.00,0.00,4.00,0.00,0.00,634.0,595.0,0.00,271.0,197.0,1824.0
18,1.00,28.00,35.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,6.00,3.00,0.00,1.00,0.00,0.00,139.0,108.0,0.00,802.0,485.0,1616.0
19,0.00,50.00,48.00,0.00,5.00,11.00,0.00,0.00,1.00,0.00,21.00,16.00,0.00,10.00,4.00,1.00,963.0,837.0,0.00,262.0,203.0,2432.0
20,0.00,34.00,52.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,8.00,4.00,0.00,7.00,3.00,0.00,865.0,779.0,0.00,109.0,106.0,1975.0
21,0.00,121.0,114.0,0.00,13.00,7.00,0.00,1.00,4.00,0.00,24.00,15.00,0.00,12.00,3.00,0.00,1309.0,1183.0,0.00,307.0,219.0,3332.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,3.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00
TOTAL,5.00,857.0,966.0,0.00,136.0,104.0,0.00,11.00,8.00,0.00,258.0,168.0,0.00,133.0,72.00,5.00,13428.0,11794.0,1.00,7558.0,5172.0,40676.0
