PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
LA FAYETTE,0.00,53.00,59.00,0.00,2.00,2.00,0.00,2.00,0.00,0.00,2.00,1.00,0.00,3.00,5.00,0.00,734.0,731.0,0.00,41.00,31.00,1666.0
CENTER POST,0.00,22.00,21.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.0,284.0,0.00,1.00,1.00,583.0
ROCK SPRING,0.00,73.00,54.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,1.00,902.0,851.0,0.00,24.00,11.00,1924.0
ARMUCHEE VALLEY,0.00,9.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,223.0,217.0,0.00,7.00,2.00,475.0
MOUNTAIN,0.00,23.00,26.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,177.0,153.0,0.00,0.00,0.00,381.0
CHATTANOOGA VALLEY,0.00,88.00,67.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,4.00,5.00,0.00,4.00,2.00,0.00,848.0,786.0,0.00,16.00,12.00,1836.0
KENSINGTON,0.00,9.00,12.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,194.0,183.0,0.00,9.00,7.00,417.0
ROSSVILLE,0.00,54.00,54.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,662.0,616.0,0.00,17.00,8.00,1419.0
CHICKAMAUGA,0.00,65.00,75.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,974.0,883.0,0.00,12.00,8.00,2024.0
FAIRYLAND,0.00,22.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,257.0,241.0,0.00,0.00,1.00,545.0
FAIRVIEW,0.00,34.00,24.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,288.0,281.0,0.00,9.00,6.00,647.0
TOTAL,0.00,452.0,426.0,0.00,13.00,12.00,0.00,2.00,1.00,0.00,14.00,16.00,0.00,8.00,11.00,2.00,5511.0,5226.0,0.00,136.0,87.00,11917.0
