PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1A,23.75,22.19,0.00,22.88
2A,35.03,35.36,0.00,35.19
3A,41.53,43.02,100.0,42.33
4A,41.85,40.41,50.00,41.08
5A,17.19,21.68,0.00,19.51
6A,17.11,17.13,0.00,17.12
88888,100.0,inf00,0.00,400.0
AN,20.76,20.99,0.00,20.86
CA,31.77,29.37,0.00,30.52
CO,38.31,33.71,0.00,35.94
DG,37.56,36.53,0.00,37.03
ES,26.69,26.29,50.00,26.51
FI,33.56,34.84,0.00,34.20
GL,29.02,29.57,0.00,29.32
LT,39.01,38.96,0.00,38.98
MC,39.44,36.05,0.00,37.70
NI,36.91,34.73,0.00,35.71
PG,34.23,33.82,0.00,33.99
TH,34.80,32.77,0.00,33.72
TI,31.79,38.27,0.00,34.93
TR,46.07,44.48,0.00,45.21
UT,35.96,37.56,0.00,36.74
VA,39.36,36.06,0.00,37.61
WS,39.48,41.16,0.00,40.38
TOTAL,34.19,33.49,15.79,33.82
