AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,14.29,37.5,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,23.11,21.03,0.0,15.0,11.63,20.56
25-29,0.0,15.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,23.73,23.57,0.0,11.11,9.38,19.63
30-34,0.0,25.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.82,34.16,0.0,16.07,9.09,30.02
35-39,0.0,0.0,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,41.04,43.72,0.0,20.75,9.38,36.96
40-44,0.0,11.11,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,47.19,47.91,0.0,26.0,20.83,42.63
45-49,0.0,55.56,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25,51.94,0.0,22.22,25.93,43.86
50-54,0.0,33.33,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.69,48.11,0.0,22.64,17.39,42.03
55-59,0.0,27.27,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.33,0.0,56.28,61.34,0.0,40.0,25.81,53.28
60-64,0.0,66.67,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.34,61.61,0.0,42.0,25.0,56.81
65-OVER,0.0,44.44,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,55.15,66.85,0.0,33.78,23.21,56.62
TOTAL,0.0,28.47,25.36,0.0,0.0,12.5,0.0,0.0,33.33,0.0,10.0,20.83,0.0,0.0,25.0,0.0,46.17,49.71,0.0,24.59,17.72,42.6
