AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,13.59,27.27,0.00,14.29,22.05,22.22,20.56
25-29,0.00,10.42,14.29,0.00,0.00,23.65,11.43,19.63
30-34,0.00,13.48,0.00,0.00,0.00,36.16,17.24,30.02
35-39,0.00,16.47,20.00,0.00,0.00,42.28,29.41,36.96
40-44,0.00,24.32,14.29,0.00,0.00,47.53,24.00,42.63
45-49,0.00,23.61,0.00,0.00,0.00,48.48,29.63,43.86
50-54,0.00,21.05,0.00,0.00,0.00,47.89,21.74,42.03
55-59,33.33,34.21,20.00,0.00,0.00,58.68,33.33,53.28
60-64,0.00,35.37,0.00,0.00,0.00,60.40,64.71,56.81
65-OVER,25.00,29.23,0.00,100.0,0.00,60.31,35.29,56.62
TOTAL,11.76,21.97,14.81,33.33,5.00,47.81,26.81,42.60
