AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,26.92,0.00,0.00,50.00,36.17,14.29,31.15
25-29,0.00,23.60,0.00,0.00,0.00,39.76,0.00,30.51
30-34,0.00,26.76,33.33,0.00,50.00,46.48,0.00,36.49
35-39,0.00,43.84,0.00,0.00,100.0,48.57,0.00,46.21
40-44,0.00,40.30,0.00,0.00,0.00,59.21,33.33,48.34
45-49,50.00,55.22,100.0,0.00,0.00,61.05,0.00,58.33
50-54,0.00,43.12,0.00,0.00,0.00,69.23,50.00,55.25
55-59,100.0,55.56,0.00,0.00,0.00,76.36,0.00,66.21
60-64,0.00,73.83,0.00,0.00,0.00,75.53,60.00,74.27
65-OVER,0.00,71.83,0.00,0.00,0.00,71.87,50.00,71.48
TOTAL,22.22,50.51,27.27,0.00,37.50,62.19,34.48,56.08
