AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.000,2.110,1.100,2.630,2.030,3.720,1.880,2.740
25-29,0.870,1.600,0.800,1.720,0.950,2.490,1.050,1.930
30-34,1.210,2.450,1.380,6.520,2.240,3.810,1.900,3.030
35-39,2.900,4.250,3.070,1.820,2.930,6.060,2.320,4.930
40-44,2.920,6.280,2.810,3.450,3.380,8.300,2.530,6.800
45-49,3.110,8.280,3.610,8.770,5.950,9.760,3.200,8.500
50-54,3.560,10.11,3.890,2.270,7.320,11.38,3.250,10.17
55-59,3.490,12.20,3.590,6.670,7.020,15.25,4.100,13.47
60-64,4.030,15.17,4.830,6.900,11.87,20.06,7.690,17.99
65-OVER,4.970,17.91,7.390,18.52,15.25,30.27,10.00,27.17
TOTAL,2.910,7.050,2.700,5.000,5.280,13.80,3.070,10.55
