PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
KIOKEE BAPT CHURCH,0.00,6.76,5.41,0.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,11.11,0.00,21.31,24.69,0.00,10.91,14.29,21.05
LEWIS METHODIST,0.00,8.43,12.55,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,11.76,0.00,9.62,4.17,0.00,15.85,17.61,0.00,17.12,11.88,15.16
WOODLAWN BAPT,0.00,7.84,7.02,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,8.33,0.00,22.81,24.55,0.00,18.31,19.61,20.83
PATRIOTS PARK,0.00,5.37,6.25,0.00,9.68,4.00,0.00,16.67,0.00,0.00,2.30,4.08,0.00,2.27,2.70,0.00,9.25,11.66,0.00,8.41,9.66,9.10
HARLEM MIDDLE SCHOOL,0.00,8.89,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,25.00,25.00,0.00,14.32,17.29,0.00,9.32,9.76,14.12
HARLEM BAPTIST,0.00,3.70,4.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,10.33,13.85,0.00,15.47,9.41,11.54
BESSIE THOMAS CENTER,0.00,3.92,1.92,0.00,40.00,33.33,0.00,100.0,0.00,0.00,0.00,0.00,0.00,50.00,20.00,0.00,14.29,18.38,0.00,13.25,7.27,15.20
PHILADELPHIA CHURCH,0.00,3.67,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,10.19,13.01,0.00,11.85,8.05,9.97
GROVETOWN CITY HALL,0.00,3.05,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,2.33,0.00,8.70,0.00,0.00,8.85,10.97,0.00,6.08,5.15,7.45
GROVETOWN METHODIST,0.00,5.19,5.44,0.00,5.88,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,9.86,11.37,0.00,7.77,9.03,8.50
G A APOSTOLIC CHURCH,0.00,7.81,8.20,0.00,12.50,10.00,0.00,100.0,0.00,0.00,0.00,16.67,0.00,18.75,14.29,0.00,16.58,21.68,0.00,19.40,20.65,17.92
GROVETOWN MIDDLE,33.33,4.97,4.88,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.11,6.98,0.00,11.76,8.33,0.00,7.18,11.59,0.00,9.74,11.23,8.60
WARREN BAPTIST,0.00,4.23,5.56,0.00,0.00,18.18,0.00,0.00,0.00,0.00,2.63,3.33,0.00,0.00,0.00,0.00,10.23,11.00,0.00,7.46,6.88,8.46
EUBANK/BLANCHARD CTR,0.00,10.81,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,16.84,21.00,0.00,26.26,16.00,18.30
SECOND MT. CARMEL,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.13,19.84,0.00,17.37,13.41,15.33
DAMASCUS BAPT,0.00,6.06,13.89,0.00,0.00,50.00,0.00,0.00,0.00,0.00,20.00,60.00,0.00,0.00,0.00,0.00,19.59,20.51,0.00,36.36,16.67,19.55
COL CTY BOARD OF EDU,0.00,9.68,4.71,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,8.70,0.00,0.00,19.01,19.36,0.00,9.60,6.29,15.64
GREENBRIER HIGH,0.00,10.29,6.80,0.00,25.00,20.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,11.11,0.00,16.24,19.84,0.00,18.18,17.54,16.48
REDEEMER CHURCH,0.00,7.94,11.76,0.00,17.14,11.43,0.00,0.00,100.0,0.00,8.89,16.13,0.00,12.77,13.89,0.00,17.80,20.18,0.00,16.85,18.78,17.47
RIVERSIDE ELEMENTARY,0.00,0.00,7.32,0.00,0.00,0.00,0.00,0.00,100.0,0.00,6.25,0.00,0.00,6.67,0.00,0.00,16.35,20.72,0.00,15.56,17.28,16.44
GRACE BAPTIST CHURCH,0.00,10.92,5.85,0.00,9.68,8.70,0.00,0.00,0.00,0.00,4.35,7.41,0.00,4.17,0.00,0.00,13.29,16.77,0.00,17.47,13.38,13.66
CHRIST SANCTIFIED,0.00,9.28,6.06,0.00,0.00,9.09,0.00,0.00,0.00,0.00,7.14,5.88,0.00,12.50,0.00,0.00,18.55,20.74,0.00,17.35,15.53,17.53
BLANCHARD PARK,0.00,6.15,8.43,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,25.00,0.00,0.00,17.07,20.13,0.00,14.29,8.11,16.44
MTZ COL FIRE DEPT #4,50.00,4.67,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,10.00,0.00,6.25,0.00,0.00,13.83,17.15,0.00,10.59,11.73,12.75
BELAIR BAPTIST CHURCH,0.00,6.59,9.43,0.00,9.09,0.00,0.00,0.00,0.00,0.00,4.55,19.05,0.00,11.90,8.70,0.00,18.06,22.80,0.00,13.13,18.24,17.74
MARVIN METHODIST,0.00,5.81,4.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,7.69,0.00,15.43,17.59,0.00,11.79,10.83,13.98
WESTSIDE BAPT CHURCH,0.00,9.62,8.20,0.00,0.00,33.33,0.00,50.00,100.0,0.00,50.00,8.33,0.00,15.38,10.53,0.00,28.98,33.50,0.00,15.62,14.52,27.66
