AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,1.0,183.0,95.0,329.0
25-29,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,175.0,76.0,310.0
30-34,0.0,7.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,36.0,39.0,0.0,249.0,84.0,426.0
35-39,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,48.0,53.0,0.0,398.0,120.0,632.0
40-44,0.0,12.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,47.0,0.0,432.0,178.0,733.0
45-49,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,61.0,80.0,0.0,487.0,224.0,869.0
50-54,0.0,11.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,96.0,0.0,624.0,342.0,1174.0
55-59,0.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,174.0,146.0,0.0,697.0,347.0,1393.0
60-64,1.0,11.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,269.0,231.0,0.0,715.0,397.0,1643.0
65-OVER,0.0,24.0,28.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,1154.0,924.0,0.0,1514.0,903.0,4559.0
TOTAL,1.0,96.0,83.0,0.0,9.0,10.0,0.0,1.0,0.0,0.0,13.0,13.0,0.0,5.0,7.0,1.0,1928.0,1660.0,1.0,5474.0,2766.0,12068.0
