AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,4.17,2.57,0.00,0.00,0.00,3.87,2.19,3.19
25-29,0.00,0.65,0.00,0.00,0.00,3.31,2.13,2.76
30-34,0.00,2.99,0.00,0.00,4.76,5.06,2.65,4.50
35-39,0.00,4.29,0.00,0.00,16.67,6.30,2.36,5.63
40-44,0.00,5.63,2.56,0.00,14.29,9.41,2.25,8.20
45-49,0.00,8.10,7.84,0.00,0.00,8.83,3.07,8.24
50-54,5.56,8.47,4.88,0.00,0.00,11.72,3.08,10.66
55-59,0.00,11.58,0.00,16.67,10.00,13.62,3.23,12.65
60-64,0.00,13.90,0.00,0.00,0.00,19.48,8.50,17.96
65-OVER,14.29,17.96,0.00,40.00,0.00,26.88,12.02,25.15
TOTAL,2.89,7.72,1.92,11.54,3.85,12.09,3.48,10.64
