PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
0050,0.00,0.00,0.00,0.00,50.00,16.77,0.00,15.31
0052,0.00,23.03,0.00,0.00,0.00,13.33,0.00,19.46
0053,13.64,4.720,2.780,25.00,6.250,23.83,6.050,15.42
0057,0.00,10.78,0.00,0.00,0.00,11.75,6.670,11.23
0058,0.00,1.350,0.00,0.00,0.00,13.40,8.330,8.060
1208,0.00,0.00,0.00,0.00,0.00,15.12,12.50,14.89
1333,0.00,10.95,0.00,0.00,0.00,12.03,15.00,11.86
1429,0.00,4.000,0.00,0.00,0.00,12.64,5.880,10.88
1502,0.00,14.29,0.00,0.00,0.00,36.17,7.690,29.66
1560,0.00,3.390,0.00,0.00,0.00,9.790,1.390,6.850
1748,0.00,21.88,42.86,0.00,0.00,39.81,7.410,37.01
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,10.34,5.860,5.710,20.00,6.250,20.70,5.850,15.26
