PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01 BIG CREEK,10.00,9.33,11.05,0.00,8.89,9.09,0.00,0.00,0.00,0.00,4.85,6.12,0.00,4.77,5.41,0.00,16.94,17.13,0.00,5.64,7.39,14.60
02 BRANDYWINE,0.00,4.73,3.14,0.00,3.85,4.17,0.00,0.00,0.00,0.00,0.75,2.73,0.00,2.24,0.76,0.00,6.96,9.83,0.00,3.33,3.95,6.11
03 BROWNS BRIDGE,0.00,9.06,6.82,0.00,9.09,6.90,0.00,0.00,0.00,0.00,3.26,3.49,0.00,5.41,0.00,20.00,15.80,18.48,0.00,0.00,0.00,15.06
04 CHESTATEE,0.00,8.14,11.11,0.00,12.50,0.00,0.00,0.00,20.00,0.00,3.45,2.38,0.00,6.25,0.00,0.00,17.82,19.81,0.00,9.52,10.00,17.03
05 COAL MOUNTAIN,33.33,9.41,10.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,5.26,0.00,15.00,5.56,0.00,22.27,21.41,0.00,2.74,3.70,18.57
06 CROSSROADS,0.00,11.59,10.51,0.00,0.00,14.29,0.00,0.00,0.00,0.00,6.98,8.93,0.00,13.04,0.00,50.00,20.88,21.23,0.00,9.09,5.00,19.00
07 CUMMING,0.00,11.57,9.30,0.00,14.29,0.00,0.00,0.00,0.00,0.00,7.14,4.08,0.00,0.00,0.00,50.00,19.30,21.98,0.00,4.35,0.00,17.37
08 MASHBURN,0.00,11.91,10.96,0.00,26.32,0.00,0.00,0.00,0.00,0.00,5.97,4.41,0.00,9.43,0.00,14.29,20.30,21.70,0.00,10.64,3.64,18.89
10 MIDWAY,6.25,9.12,9.67,0.00,6.49,4.76,0.00,14.29,0.00,33.33,3.76,3.09,0.00,3.87,3.92,0.00,15.14,16.94,0.00,8.93,5.17,14.02
15 HEARDSVILLE,20.00,11.64,14.57,0.00,12.50,4.55,0.00,0.00,0.00,0.00,5.00,9.84,0.00,14.29,0.00,0.00,19.13,21.77,0.00,9.68,2.56,18.80
16 OTWELL,66.67,9.13,9.52,0.00,0.00,3.33,0.00,12.50,0.00,0.00,3.80,2.29,0.00,4.35,7.50,0.00,19.02,20.63,0.00,8.06,6.10,17.23
19 OLD ATLANTA,0.00,6.65,6.12,0.00,2.04,1.96,0.00,0.00,0.00,0.00,3.12,6.52,0.00,0.84,1.92,0.00,14.02,14.98,0.00,2.02,2.56,10.75
21 SOUTH FORSYTH,0.00,8.64,9.53,0.00,2.00,1.72,0.00,0.00,0.00,0.00,6.03,6.61,0.00,2.16,2.54,25.00,16.22,16.59,0.00,5.88,6.29,13.63
25 WINDERMERE,22.22,7.78,10.47,0.00,4.08,6.25,0.00,0.00,0.00,0.00,10.00,11.24,0.00,0.00,3.61,0.00,16.00,16.05,0.00,3.92,5.32,13.07
27 CONCORD,25.00,14.79,12.52,0.00,0.00,0.00,0.00,20.00,0.00,0.00,1.61,7.79,0.00,0.00,4.00,20.00,23.60,23.70,0.00,6.98,3.92,21.27
29 POLO,0.00,7.33,7.50,0.00,6.67,1.72,0.00,0.00,0.00,0.00,3.88,2.98,0.00,3.81,3.55,18.18,15.46,17.78,0.00,4.62,2.82,13.59
TOTAL,10.47,9.18,9.54,0.00,5.80,4.01,0.00,5.17,1.82,25.00,4.45,5.10,0.00,3.06,3.22,9.41,17.39,18.68,0.00,5.43,4.58,15.35
