PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,10.00,1126.0,1131.0,1.000,90.00,88.00,0.00,5.000,4.000,0.00,165.0,147.0,1.000,440.0,425.0,9.000,5542.0,4898.0,0.00,195.0,176.0,14453.0
02,4.000,592.0,510.0,0.00,52.00,48.00,0.00,4.000,6.000,0.00,134.0,110.0,0.00,134.0,132.0,1.000,1566.0,1333.0,0.00,300.0,228.0,5154.0
03,1.000,662.0,704.0,0.00,22.00,29.00,0.00,1.000,3.000,1.000,92.00,86.00,0.00,37.00,24.00,5.000,3621.0,3410.0,0.00,51.00,37.00,8786.0
04,1.000,393.0,423.0,0.00,8.000,14.00,0.00,4.000,5.000,0.00,58.00,42.00,0.00,16.00,9.000,4.000,2463.0,2312.0,0.00,21.00,10.00,5783.0
05,3.000,425.0,426.0,0.00,10.00,10.00,0.00,1.000,5.000,0.00,52.00,38.00,0.00,20.00,18.00,6.000,1823.0,1677.0,0.00,73.00,54.00,4641.0
06,0.00,397.0,447.0,0.00,16.00,7.000,0.00,2.000,2.000,0.00,43.00,56.00,0.00,23.00,13.00,2.000,2308.0,2096.0,0.00,22.00,20.00,5454.0
07,4.000,242.0,215.0,0.00,14.00,13.00,0.00,0.00,1.000,0.00,70.00,49.00,0.00,21.00,17.00,2.000,1254.0,869.0,0.00,46.00,22.00,2839.0
08,4.000,554.0,511.0,0.00,19.00,25.00,0.00,1.000,0.00,0.00,67.00,68.00,0.00,53.00,44.00,7.000,3173.0,2959.0,0.00,47.00,55.00,7587.0
10,16.00,1305.0,1293.0,0.00,77.00,63.00,0.00,7.000,5.000,3.000,186.0,162.0,1.000,181.0,153.0,7.000,6042.0,5596.0,0.00,224.0,174.0,15495.0
15,5.000,464.0,501.0,0.00,16.00,22.00,0.00,0.00,3.000,0.00,60.00,61.00,1.000,28.00,17.00,6.000,2959.0,2627.0,0.00,31.00,39.00,6840.0
16,3.000,778.0,746.0,0.00,47.00,30.00,0.00,8.000,3.000,0.00,184.0,131.0,0.00,46.00,40.00,9.000,4348.0,3854.0,0.00,124.0,82.00,10433.0
19,2.000,436.0,441.0,0.00,49.00,51.00,0.00,4.000,4.000,0.00,32.00,46.00,1.000,358.0,364.0,4.000,1854.0,1769.0,0.00,99.00,78.00,5592.0
21,6.000,868.0,860.0,0.00,50.00,58.00,0.00,6.000,6.000,0.00,116.0,121.0,1.000,417.0,393.0,4.000,4193.0,3942.0,0.00,170.0,143.0,11354.0
25,9.000,681.0,659.0,0.00,49.00,32.00,0.00,5.000,3.000,0.00,90.00,89.00,2.000,307.0,332.0,3.000,2712.0,2473.0,0.00,102.0,94.00,7642.0
27,4.000,568.0,599.0,1.000,24.00,26.00,0.00,5.000,0.00,0.00,62.00,77.00,0.00,29.00,25.00,5.000,3288.0,2958.0,0.00,43.00,51.00,7765.0
29,14.00,1037.0,1053.0,0.00,60.00,58.00,0.00,5.000,5.000,0.00,206.0,168.0,0.00,210.0,197.0,11.00,4652.0,4161.0,0.00,238.0,177.0,12252.0
TOTAL,86.00,10528.0,10519.0,2.000,603.0,574.0,0.00,58.00,55.00,4.000,1617.0,1451.0,7.000,2320.0,2203.0,85.00,51798.0,46934.0,0.00,1786.0,1440.0,132070.0
