AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.0,113.0,90.0,0.0,15.0,11.0,0.0,1.0,0.0,0.0,14.0,8.0,0.0,18.0,13.0,2.0,305.0,374.0,3.0,428.0,271.0,1669.0
25-29,2.0,101.0,80.0,0.0,21.0,16.0,0.0,2.0,1.0,0.0,18.0,15.0,0.0,15.0,9.0,2.0,328.0,365.0,0.0,417.0,217.0,1609.0
30-34,1.0,195.0,183.0,0.0,18.0,17.0,0.0,0.0,1.0,0.0,21.0,22.0,0.0,22.0,22.0,0.0,510.0,510.0,0.0,811.0,409.0,2742.0
35-39,2.0,301.0,200.0,0.0,32.0,14.0,0.0,1.0,0.0,0.0,31.0,26.0,1.0,28.0,21.0,1.0,754.0,692.0,0.0,1334.0,583.0,4021.0
40-44,1.0,332.0,243.0,0.0,35.0,18.0,0.0,0.0,3.0,0.0,36.0,24.0,0.0,33.0,39.0,1.0,994.0,892.0,0.0,1514.0,758.0,4923.0
45-49,1.0,305.0,262.0,0.0,28.0,29.0,0.0,0.0,1.0,0.0,26.0,35.0,0.0,28.0,31.0,0.0,1266.0,1350.0,0.0,1660.0,970.0,5992.0
50-54,2.0,276.0,259.0,0.0,33.0,22.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,28.0,28.0,0.0,1362.0,1484.0,0.0,1822.0,1063.0,6419.0
55-59,0.0,303.0,218.0,0.0,34.0,27.0,0.0,1.0,0.0,0.0,12.0,10.0,0.0,12.0,19.0,0.0,1489.0,1608.0,3.0,2174.0,1140.0,7050.0
60-64,3.0,276.0,233.0,0.0,27.0,19.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,13.0,10.0,0.0,1605.0,1623.0,0.0,2858.0,1409.0,8104.0
65-OVER,3.0,911.0,683.0,0.0,64.0,46.0,0.0,0.0,1.0,0.0,29.0,23.0,0.0,33.0,53.0,1.0,5572.0,5398.0,3.0,8127.0,4447.0,25394.0
TOTAL,18.0,3113.0,2451.0,0.0,307.0,219.0,0.0,5.0,7.0,0.0,222.0,196.0,1.0,230.0,245.0,7.0,14185.0,14296.0,9.0,21145.0,11267.0,67923.0
