PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
SUGAR VALLEY,0.00,9.00,13.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,14.00,0.00,2.00,0.00,0.00,634.0,567.0,0.00,1.00,2.00,1248.0
PLAINVILLE,0.00,22.00,20.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,18.00,14.00,0.00,5.00,5.00,0.00,824.0,746.0,0.00,10.00,17.00,1684.0
SONORAVILLE,1.00,45.00,66.00,0.00,8.00,10.00,0.00,2.00,1.00,0.00,70.00,65.00,0.00,5.00,6.00,1.00,2235.0,2065.0,0.00,67.00,83.00,4730.0
PINE CHAPEL,0.00,9.00,12.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,422.0,397.0,0.00,0.00,4.00,852.0
OOSTANAULA,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,260.0,246.0,0.00,36.00,33.00,595.0
OAKMAN,0.00,12.00,15.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,538.0,523.0,0.00,2.00,5.00,1105.0
GORDON COUNTY,0.00,67.00,81.00,0.00,11.00,12.00,0.00,1.00,0.00,0.00,145.0,154.0,0.00,25.00,15.00,2.00,2453.0,2208.0,0.00,92.00,97.00,5363.0
CALHOUN CITY,2.00,106.0,124.0,0.00,18.00,25.00,0.00,6.00,6.00,0.00,304.0,238.0,0.00,30.00,31.00,0.00,3285.0,2595.0,0.00,339.0,214.0,7323.0
LILY POND,0.00,10.00,17.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,15.00,12.00,0.00,5.00,4.00,0.00,770.0,685.0,0.00,36.00,31.00,1594.0
FAIRMOUNT,0.00,16.00,14.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,4.00,0.00,809.0,752.0,0.00,8.00,14.00,1623.0
RED BUD,0.00,19.00,29.00,0.00,7.00,5.00,0.00,0.00,0.00,0.00,43.00,45.00,0.00,8.00,10.00,0.00,1143.0,1031.0,0.00,28.00,35.00,2403.0
RESACA,0.00,18.00,20.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,38.00,32.00,0.00,2.00,2.00,0.00,565.0,522.0,0.00,7.00,8.00,1217.0
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,4.00,0.00,0.00,0.00,15.00
TOTAL,3.00,341.0,419.0,0.00,52.00,67.00,0.00,10.00,7.00,0.00,651.0,578.0,0.00,83.00,79.00,3.00,13949.0,12341.0,0.00,626.0,543.0,29752.0
