PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
001,0.00,7.290,7.760,0.00,6.670,0.00,0.00,0.00,0.00,0.00,1.010,1.000,0.00,0.00,0.00,0.00,17.37,20.67,0.00,6.060,4.650,15.04
002,0.00,3.360,2.270,0.00,9.090,0.00,0.00,0.00,0.00,0.00,0.920,0.430,0.00,2.500,0.00,0.00,13.61,13.56,0.00,6.960,2.860,7.860
003,0.00,4.460,1.460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.850,6.100,0.00,0.00,0.00,0.00,11.85,10.98,0.00,1.400,2.480,8.520
004,50.00,5.840,8.000,0.00,7.140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.260,6.670,0.00,15.33,19.32,0.00,4.490,9.090,14.72
005,0.00,3.030,10.32,0.00,7.690,8.330,0.00,0.00,0.00,0.00,2.080,5.170,0.00,9.090,0.00,0.00,12.65,14.40,0.00,7.940,3.280,12.13
006,0.00,2.860,3.470,0.00,5.880,10.00,0.00,0.00,0.00,0.00,0.00,4.000,0.00,0.00,0.00,0.00,11.19,12.20,0.00,6.470,2.680,9.560
007,0.00,3.500,4.840,0.00,5.880,5.560,0.00,0.00,20.00,0.00,2.330,2.170,0.00,2.080,0.00,0.00,8.150,8.720,0.00,4.240,3.260,7.460
008,0.00,7.140,6.160,0.00,0.00,7.690,0.00,100.0,0.00,0.00,3.230,0.00,0.00,8.330,12.50,0.00,11.54,12.39,0.00,2.820,4.760,10.72
009,0.00,3.450,5.910,0.00,9.090,0.00,0.00,0.00,0.00,0.00,3.400,1.350,0.00,0.00,0.00,0.00,13.99,17.53,0.00,4.600,5.040,12.59
010,0.00,4.150,1.790,0.00,0.00,5.000,0.00,0.00,0.00,0.00,1.760,2.050,0.00,0.00,0.00,0.00,15.53,15.51,0.00,6.330,4.310,11.57
