PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
STAPLETON,0.00,7.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,108.0,104.0,0.00,83.00,69.00,382.0
MATTHEWS,0.00,24.00,15.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.0,168.0,0.00,81.00,79.00,556.0
WRENS,2.00,65.00,65.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,2.00,2.00,0.00,599.0,513.0,2.00,831.0,556.0,2649.0
LOUISVILLE,0.00,81.00,65.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,6.00,4.00,0.00,2.00,2.00,0.00,767.0,654.0,2.00,1269.0,894.0,3754.0
WADLEY,0.00,30.00,33.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,258.0,210.0,0.00,821.0,557.0,1916.0
BARTOW,0.00,4.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,107.0,98.00,0.00,165.0,112.0,501.0
STAPLETON,0.00,11.00,16.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,183.0,168.0,0.00,126.0,75.00,581.0
AVERA,0.00,2.00,9.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,157.0,138.0,0.00,20.00,16.00,349.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,4.00
TOTAL,2.00,224.0,224.0,1.00,12.00,10.00,0.00,1.00,1.00,0.00,13.00,8.00,0.00,7.00,7.00,1.00,2367.0,2053.0,4.00,3397.0,2361.0,10693.0
