PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,27.27,16.01,37.50,33.33,0.00,29.32,0.00,27.00
10,0.00,15.38,0.00,0.00,0.00,25.34,2.500,19.18
11,7.690,18.97,0.00,0.00,0.00,32.75,0.00,27.92
2,0.00,17.61,0.00,0.00,0.00,30.35,7.690,27.66
3,0.00,13.20,0.00,0.00,0.00,15.55,3.030,14.66
4,25.00,19.81,0.00,0.00,50.00,28.01,11.11,27.00
5,0.00,20.22,33.33,33.33,100.0,27.93,0.00,25.41
6,0.00,13.74,0.00,0.00,33.33,39.59,22.22,32.36
8,0.00,29.03,0.00,0.00,0.00,30.82,0.00,29.51
9,4.350,14.42,0.00,0.00,0.00,29.50,6.900,26.64
TOTAL,8.750,16.23,8.430,12.50,9.090,28.02,4.570,24.50
