AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,6.85,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,33.33,0.0,0.0,17.6,16.1,0.0,8.22,3.92,11.91
25-29,0.0,17.39,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88,17.5,0.0,7.68,4.17,12.38
30-34,0.0,17.02,14.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,66.67,0.0,0.0,16.67,0.0,26.11,27.94,0.0,14.29,9.85,20.56
35-39,0.0,21.57,16.67,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,0.0,27.57,31.48,0.0,19.18,14.33,24.2
40-44,0.0,6.67,17.65,0.0,14.29,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,14.29,0.0,100.0,33.68,34.6,0.0,27.13,18.89,29.65
45-49,0.0,25.49,10.81,0.0,0.0,100.0,0.0,0.0,0.0,0.0,28.57,16.67,0.0,40.0,0.0,0.0,39.01,40.4,0.0,28.82,22.98,34.45
50-54,0.0,31.58,4.88,0.0,25.0,33.33,0.0,0.0,0.0,0.0,33.33,14.29,0.0,10.0,0.0,0.0,43.69,40.95,0.0,37.62,26.86,37.9
55-59,0.0,14.29,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,9.09,0.0,42.82,47.77,0.0,42.98,32.82,41.22
60-64,0.0,11.54,13.33,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,28.57,0.0,0.0,49.26,56.54,0.0,46.46,37.43,48.16
65-OVER,0.0,30.88,35.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,37.5,22.22,0.0,0.0,22.22,0.0,52.45,58.36,0.0,45.61,45.33,51.9
TOTAL,0.0,18.92,14.29,0.0,9.09,11.43,0.0,0.0,10.0,0.0,12.0,14.67,0.0,14.67,7.59,50.0,39.5,42.16,0.0,28.84,23.71,34.77
