AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,70.0,68.0,0.0,7.0,13.0,0.0,0.0,2.0,0.0,10.0,10.0,0.0,17.0,16.0,0.0,715.0,689.0,2.0,210.0,161.0,1991.0
25-29,0.0,40.0,40.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,18.0,12.0,0.0,15.0,6.0,1.0,710.0,660.0,0.0,195.0,130.0,1844.0
30-34,0.0,56.0,41.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0,7.0,6.0,0.0,716.0,621.0,0.0,204.0,124.0,1819.0
35-39,0.0,49.0,60.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,19.0,11.0,0.0,18.0,7.0,0.0,820.0,644.0,0.0,233.0,150.0,2026.0
40-44,0.0,51.0,55.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,16.0,9.0,0.0,849.0,750.0,0.0,270.0,163.0,2203.0
45-49,0.0,54.0,46.0,0.0,10.0,4.0,0.0,1.0,1.0,0.0,16.0,5.0,0.0,17.0,18.0,0.0,884.0,801.0,0.0,224.0,173.0,2254.0
50-54,0.0,35.0,36.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,6.0,9.0,0.0,862.0,755.0,0.0,176.0,147.0,2053.0
55-59,0.0,40.0,42.0,0.0,4.0,9.0,0.0,1.0,1.0,0.0,8.0,4.0,0.0,6.0,11.0,0.0,837.0,736.0,0.0,161.0,130.0,1990.0
60-64,0.0,22.0,28.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,13.0,5.0,1.0,708.0,682.0,0.0,125.0,118.0,1720.0
65-OVER,0.0,39.0,38.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,5.0,8.0,0.0,1424.0,1332.0,0.0,252.0,195.0,3315.0
TOTAL,1.0,456.0,454.0,0.0,72.0,72.0,0.0,5.0,6.0,0.0,120.0,74.0,0.0,120.0,95.0,2.0,8525.0,7670.0,2.0,2050.0,1491.0,21215.0
