PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1,0.00,24.00,29.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,2.000,1.000,0.00,2.000,0.00,0.00,72.00,79.00,1.000,479.0,361.0,1051.0
10,1.000,209.0,218.0,0.00,65.00,29.00,0.00,7.000,3.000,0.00,151.0,124.0,0.00,50.00,23.00,1.000,615.0,433.0,2.000,1337.0,923.0,4191.0
11,0.00,186.0,182.0,0.00,46.00,29.00,0.00,5.000,0.00,0.00,121.0,121.0,0.00,55.00,32.00,0.00,786.0,598.0,1.000,901.0,745.0,3808.0
12,0.00,108.0,100.0,0.00,28.00,15.00,0.00,0.00,1.000,0.00,84.00,60.00,0.00,16.00,14.00,0.00,264.0,221.0,0.00,921.0,474.0,2306.0
13,0.00,228.0,273.0,0.00,36.00,18.00,0.00,8.000,2.000,0.00,136.0,100.0,0.00,27.00,28.00,0.00,645.0,431.0,1.000,455.0,321.0,2709.0
14,0.00,110.0,121.0,0.00,17.00,10.00,0.00,3.000,0.00,0.00,70.00,64.00,1.000,19.00,7.000,0.00,303.0,252.0,0.00,801.0,583.0,2361.0
2,1.000,101.0,99.00,0.00,18.00,19.00,0.00,0.00,1.000,0.00,64.00,46.00,0.00,30.00,26.00,0.00,481.0,367.0,0.00,410.0,270.0,1933.0
3,0.00,162.0,162.0,0.00,26.00,12.00,0.00,2.000,0.00,0.00,32.00,25.00,0.00,19.00,12.00,0.00,846.0,782.0,1.000,985.0,752.0,3818.0
4,1.000,150.0,166.0,0.00,27.00,31.00,0.00,3.000,1.000,0.00,133.0,94.00,0.00,29.00,12.00,0.00,394.0,316.0,0.00,902.0,602.0,2861.0
5,1.000,15.00,19.00,0.00,1.000,3.000,0.00,0.00,0.00,0.00,2.000,1.000,0.00,1.000,0.00,0.00,74.00,69.00,0.00,180.0,131.0,497.0
6,2.000,95.00,115.0,0.00,14.00,11.00,0.00,1.000,0.00,0.00,22.00,9.000,0.00,9.000,4.000,0.00,1052.0,955.0,0.00,156.0,115.0,2560.0
7,0.00,126.0,117.0,0.00,17.00,16.00,0.00,2.000,1.000,0.00,73.00,56.00,0.00,20.00,17.00,0.00,656.0,525.0,0.00,357.0,304.0,2287.0
88888,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,1.000,0.00,4.000
9,1.000,132.0,128.0,0.00,34.00,33.00,0.00,1.000,1.000,0.00,109.0,66.00,0.00,27.00,21.00,0.00,446.0,309.0,2.000,803.0,576.0,2689.0
99999,0.00,1.000,2.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,2.000,0.00,1.000,0.00,0.00,4.000,3.000,0.00,8.000,3.000,25.00
TOTAL,7.000,1647.0,1732.0,0.00,329.0,227.0,0.00,32.00,10.00,0.00,1000.0,770.0,1.000,305.0,196.0,1.000,6638.0,5341.0,8.000,8696.0,6160.0,33100.0
