PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BEARDS CREEK,0.00,13.73,16.13,0.00,33.33,0.00,0.00,100.0,0.00,0.00,11.76,7.27,0.00,0.00,0.00,0.00,28.27,29.97,0.00,44.50,37.50,29.16
RYE PATCH/OAK DALE,0.00,14.16,13.60,0.00,9.09,13.33,0.00,0.00,50.00,0.00,7.50,12.12,0.00,14.29,18.18,0.00,29.05,36.31,0.00,9.90,9.09,24.49
SOUTH LUDOWICI,0.00,4.76,7.27,0.00,10.00,25.00,0.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.31,30.99,0.00,26.17,18.78,22.12
NORTH LUDOWICI,0.00,11.96,6.90,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,8.70,0.00,11.11,0.00,0.00,28.09,32.97,0.00,8.49,8.56,19.81
TIBET,0.00,8.33,15.38,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,44.74,46.65,0.00,7.46,12.50,37.59
ALMA FLOURNOY,0.00,57.14,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.08,54.13,0.00,44.83,27.27,47.84
FAITH BAPTIST ANNEX,100.0,40.91,17.39,0.00,100.0,100.0,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,49.81,51.13,0.00,23.08,23.26,43.53
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,14.29
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,50.00,13.73,11.98,0.00,9.52,17.50,0.00,50.00,33.33,0.00,7.41,7.87,0.00,11.11,8.33,0.00,33.07,38.06,0.00,21.56,17.93,27.83
