AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,2.0,109.0,100.0,0.0,9.0,5.0,0.0,3.0,3.0,0.0,26.0,14.0,0.0,6.0,5.0,2.0,707.0,635.0,0.0,10.0,12.0,1648.0
25-29,0.0,43.0,59.0,0.0,6.0,9.0,0.0,1.0,2.0,0.0,18.0,19.0,0.0,4.0,6.0,0.0,702.0,669.0,0.0,9.0,11.0,1558.0
30-34,0.0,33.0,50.0,0.0,5.0,4.0,0.0,1.0,3.0,0.0,13.0,7.0,0.0,5.0,1.0,0.0,626.0,579.0,0.0,9.0,5.0,1341.0
35-39,0.0,32.0,41.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,11.0,0.0,4.0,2.0,0.0,673.0,527.0,0.0,7.0,8.0,1317.0
40-44,0.0,28.0,44.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,7.0,11.0,0.0,5.0,4.0,0.0,617.0,555.0,0.0,3.0,4.0,1285.0
45-49,0.0,39.0,39.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,11.0,12.0,0.0,6.0,2.0,0.0,678.0,590.0,0.0,8.0,5.0,1398.0
50-54,0.0,42.0,42.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,11.0,4.0,0.0,3.0,1.0,0.0,730.0,678.0,0.0,7.0,8.0,1531.0
55-59,0.0,39.0,37.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,8.0,8.0,0.0,3.0,4.0,0.0,857.0,753.0,0.0,8.0,10.0,1738.0
60-64,0.0,40.0,45.0,0.0,5.0,3.0,0.0,0.0,6.0,0.0,5.0,4.0,0.0,5.0,0.0,0.0,840.0,702.0,0.0,6.0,4.0,1665.0
65-OVER,0.0,107.0,94.0,0.0,3.0,6.0,0.0,8.0,6.0,0.0,9.0,2.0,0.0,3.0,2.0,0.0,2103.0,1933.0,0.0,11.0,6.0,4293.0
TOTAL,2.0,512.0,551.0,0.0,45.0,36.0,0.0,23.0,23.0,0.0,112.0,92.0,0.0,44.0,27.0,2.0,8533.0,7621.0,0.0,78.0,73.0,17774.0
