AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.0,63.0,77.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,6.0,9.0,2.0,501.0,487.0,1.0,194.0,150.0,1526.0
25-29,1.0,54.0,53.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,5.0,0.0,473.0,429.0,0.0,204.0,168.0,1410.0
30-34,0.0,56.0,44.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,452.0,424.0,0.0,152.0,141.0,1289.0
35-39,0.0,42.0,49.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,505.0,424.0,0.0,153.0,117.0,1307.0
40-44,1.0,50.0,53.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,3.0,0.0,555.0,459.0,0.0,176.0,122.0,1440.0
45-49,0.0,44.0,45.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,7.0,8.0,0.0,4.0,7.0,0.0,634.0,540.0,0.0,189.0,137.0,1624.0
50-54,0.0,41.0,39.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,2.0,0.0,675.0,614.0,0.0,198.0,158.0,1751.0
55-59,0.0,40.0,42.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,1.0,0.0,741.0,663.0,0.0,229.0,146.0,1884.0
60-64,0.0,22.0,39.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,4.0,0.0,688.0,624.0,0.0,211.0,173.0,1781.0
65-OVER,3.0,55.0,76.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,8.0,5.0,1.0,1547.0,1446.0,0.0,457.0,302.0,3918.0
TOTAL,8.0,467.0,517.0,0.0,48.0,53.0,0.0,3.0,0.0,0.0,46.0,41.0,0.0,47.0,38.0,3.0,6771.0,6110.0,1.0,2163.0,1614.0,17930.0
