AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.63,0.00,0.00,0.00,6.01,2.88,3.38
25-29,0.00,3.20,0.00,0.00,0.00,4.29,1.05,3.29
30-34,0.00,6.99,4.65,0.00,0.00,6.69,3.23,6.55
35-39,0.00,8.73,3.12,0.00,0.00,9.38,6.67,8.65
40-44,16.67,13.21,4.17,0.00,0.00,11.92,4.55,12.05
45-49,14.29,16.14,0.00,0.00,0.00,13.88,2.86,14.13
50-54,0.00,21.42,0.00,0.00,28.57,14.35,0.00,16.43
55-59,20.00,27.51,13.04,0.00,0.00,16.43,8.00,20.13
60-64,0.00,32.58,0.00,0.00,0.00,22.87,8.11,25.69
65-OVER,6.67,38.33,21.43,50.00,36.36,26.29,13.56,30.05
TOTAL,5.00,16.09,3.19,16.67,6.59,16.49,4.59,15.54
