PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
HACKLEBARNEY/CASON,0.00,6.72,10.68,0.00,0.00,11.11,0.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,31.81,0.00,13.97,11.16,23.75
BLACKSHEAR,0.00,12.63,9.43,0.00,0.00,0.00,100.0,0.00,0.00,0.00,9.09,14.29,0.00,0.00,0.00,0.00,26.11,29.92,0.00,4.00,9.52,25.41
ST JOHNS/BLACKSHEAR,0.00,13.89,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,32.34,34.83,0.00,33.33,18.18,31.80
OTTER CREEK,0.00,17.95,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.27,39.92,0.00,43.75,18.18,36.73
PATTERSON,0.00,10.00,6.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.77,36.19,0.00,17.53,14.75,26.94
MERSHON,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.79,31.88,0.00,10.00,28.57,30.39
ALABAHA,0.00,20.83,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.11,34.59,0.00,0.00,18.18,31.78
SUNSET/SWEAT,0.00,28.57,14.29,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.13,33.94,0.00,0.00,0.00,33.20
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,0.00,12.11,9.30,0.00,0.00,11.11,100.0,50.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00,0.00,29.44,33.41,0.00,14.15,12.41,28.02
