PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,0.00,16.00,14.00,0.00,2.000,3.000,0.00,0.00,0.00,0.00,7.000,2.000,0.00,6.000,4.000,0.00,379.0,267.0,0.00,281.0,216.0,1197.0
02,0.00,5.000,7.000,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,1.000,0.00,0.00,159.0,153.0,0.00,85.00,52.00,464.0
03,0.00,17.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1.000,1.000,0.00,320.0,302.0,0.00,214.0,178.0,1065.0
04,0.00,9.000,9.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,4.000,2.000,0.00,250.0,215.0,0.00,354.0,280.0,1125.0
05,0.00,5.000,5.000,0.00,1.000,1.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,1.000,0.00,0.00,173.0,177.0,0.00,74.00,58.00,496.0
06,0.00,8.000,12.00,0.00,2.000,1.000,0.00,1.000,0.00,0.00,1.000,1.000,0.00,0.00,0.00,1.000,360.0,352.0,0.00,51.00,28.00,818.0
07,0.00,17.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,2.000,0.00,0.00,0.00,1.000,224.0,197.0,0.00,258.0,204.0,922.0
08,0.00,5.000,3.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,73.00,78.00,0.00,126.0,108.0,394.0
09,0.00,13.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,1.000,0.00,0.00,333.0,321.0,0.00,86.00,79.00,846.0
10,0.00,15.00,9.000,0.00,1.000,1.000,0.00,2.000,0.00,0.00,1.000,1.000,0.00,4.000,2.000,0.00,209.0,180.0,0.00,468.0,308.0,1201.0
11,0.00,3.000,7.000,0.00,0.00,2.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.0,143.0,0.00,33.00,33.00,364.0
12,0.00,5.000,7.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,41.00,29.00,0.00,87.00,80.00,250.0
TOTAL,0.00,118.0,133.0,0.00,7.000,8.000,0.00,3.000,0.00,0.00,14.00,11.00,0.00,18.00,9.000,2.000,2664.0,2414.0,0.00,2117.0,1624.0,9142.0
