AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.070,0.00,0.00,0.00,11.59,3.850,7.000
25-29,0.00,2.420,0.00,0.00,20.00,8.350,3.570,5.270
30-34,0.00,3.100,0.00,0.00,0.00,12.36,0.00,7.450
35-39,25.00,2.370,0.00,0.00,0.00,15.00,10.00,9.550
40-44,0.00,4.910,33.33,0.00,0.00,17.86,0.00,11.82
45-49,0.00,6.750,33.33,0.00,0.00,20.14,13.04,15.10
50-54,0.00,10.00,20.00,0.00,0.00,22.03,6.670,16.49
55-59,0.00,13.46,0.00,0.00,0.00,28.96,5.260,21.61
60-64,0.00,16.02,0.00,0.00,0.00,33.14,18.18,26.19
65-OVER,0.00,15.82,50.00,0.00,0.00,35.68,10.00,28.52
TOTAL,3.700,8.630,16.00,0.00,6.670,24.00,5.980,17.10
