AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.0,164.0,191.0,0.0,29.0,13.0,0.0,1.0,3.0,0.0,54.0,36.0,0.0,17.0,7.0,2.0,961.0,861.0,0.0,752.0,618.0,3712.0
25-29,0.0,121.0,135.0,0.0,20.0,20.0,0.0,1.0,1.0,0.0,36.0,25.0,0.0,6.0,5.0,1.0,1071.0,961.0,1.0,916.0,596.0,3916.0
30-34,0.0,98.0,125.0,0.0,12.0,10.0,0.0,1.0,0.0,0.0,31.0,23.0,0.0,13.0,5.0,0.0,973.0,890.0,0.0,762.0,483.0,3426.0
35-39,0.0,73.0,75.0,0.0,15.0,14.0,0.0,2.0,0.0,0.0,24.0,18.0,0.0,14.0,6.0,1.0,991.0,864.0,0.0,770.0,463.0,3330.0
40-44,0.0,55.0,74.0,0.0,13.0,6.0,0.0,1.0,0.0,0.0,28.0,10.0,0.0,14.0,9.0,0.0,1012.0,857.0,0.0,711.0,475.0,3265.0
45-49,0.0,60.0,79.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,25.0,23.0,0.0,14.0,9.0,0.0,1013.0,1023.0,0.0,699.0,481.0,3447.0
50-54,0.0,75.0,77.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0,17.0,9.0,0.0,15.0,10.0,0.0,1189.0,1044.0,0.0,710.0,528.0,3689.0
55-59,0.0,73.0,62.0,0.0,16.0,4.0,0.0,2.0,1.0,0.0,16.0,11.0,0.0,11.0,6.0,0.0,1210.0,1127.0,0.0,645.0,489.0,3673.0
60-64,1.0,38.0,68.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,14.0,8.0,0.0,6.0,4.0,0.0,1165.0,1026.0,0.0,559.0,390.0,3293.0
65-OVER,1.0,137.0,119.0,0.0,10.0,16.0,0.0,0.0,4.0,0.0,18.0,13.0,0.0,25.0,19.0,1.0,4004.0,3265.0,0.0,1111.0,713.0,9456.0
TOTAL,5.0,894.0,1005.0,0.0,137.0,108.0,0.0,11.0,9.0,0.0,263.0,176.0,0.0,135.0,80.0,5.0,13589.0,11918.0,1.0,7635.0,5236.0,41207.0
