AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,23.26,19.64,0.0,8.5,4.85,11.86
25-29,0.0,15.38,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,7.69,0.0,0.0,11.11,0.0,20.12,19.49,0.0,8.14,6.86,12.05
30-34,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,26.96,24.65,0.0,15.43,7.86,17.56
35-39,0.0,23.53,4.55,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,34.96,33.33,0.0,21.03,14.33,23.88
40-44,0.0,31.82,24.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,38.1,41.95,0.0,24.94,18.55,29.28
45-49,0.0,22.22,17.39,0.0,50.0,66.67,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,42.73,43.75,0.0,30.32,26.45,34.55
50-54,0.0,10.53,15.38,0.0,16.67,66.67,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,50.67,49.39,0.0,33.86,28.13,39.35
55-59,0.0,27.78,31.25,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.42,49.14,0.0,35.13,29.66,39.15
60-64,0.0,16.67,16.67,0.0,11.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,57.8,53.6,0.0,44.76,40.96,48.83
65-OVER,0.0,20.83,37.93,0.0,10.0,33.33,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,46.36,55.72,0.0,38.85,39.14,45.96
TOTAL,0.0,16.41,17.37,0.0,14.29,28.57,0.0,0.0,0.0,0.0,7.87,5.71,0.0,1.96,2.63,0.0,41.36,43.4,0.0,25.92,21.5,32.23
