AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,6.67,2.37,0.00,0.00,0.00,2.37,0.86,2.19
25-29,0.00,1.18,0.00,0.00,0.00,1.30,1.32,1.23
30-34,0.00,3.77,0.00,0.00,0.00,2.26,1.88,2.70
35-39,0.00,4.98,0.00,0.00,12.50,2.80,2.63,3.56
40-44,0.00,5.70,0.00,0.00,0.00,4.17,9.32,4.91
45-49,0.00,10.33,4.55,0.00,0.00,5.52,5.71,6.97
50-54,6.67,10.71,0.00,0.00,0.00,7.67,8.40,8.68
55-59,0.00,13.84,7.69,0.00,0.00,10.01,6.15,11.07
60-64,0.00,15.34,0.00,0.00,10.00,15.82,7.92,15.22
65-OVER,0.00,19.83,8.70,0.00,0.00,20.60,10.39,19.96
TOTAL,1.64,9.71,1.86,0.00,2.19,10.18,5.22,9.64
