AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.0,66.0,0.0,2.0,5.0,160.0
25-29,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,57.0,0.0,5.0,2.0,155.0
30-34,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,83.0,0.0,11.0,5.0,205.0
35-39,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,93.0,0.0,15.0,5.0,242.0
40-44,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,160.0,132.0,0.0,21.0,8.0,340.0
45-49,0.0,9.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,202.0,192.0,0.0,18.0,16.0,452.0
50-54,0.0,9.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,236.0,199.0,0.0,26.0,13.0,498.0
55-59,0.0,13.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,237.0,237.0,0.0,23.0,16.0,544.0
60-64,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,292.0,264.0,0.0,37.0,16.0,627.0
65-OVER,0.0,19.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,830.0,827.0,0.0,66.0,40.0,1807.0
TOTAL,1.0,102.0,88.0,0.0,5.0,7.0,0.0,1.0,1.0,0.0,4.0,7.0,0.0,4.0,7.0,0.0,2303.0,2150.0,0.0,224.0,126.0,5030.0
