AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,5.36,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,11.35,15.0,0.0,0.0,0.0,11.77
25-29,0.0,5.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.45,0.0,0.0,8.33,8.74
30-34,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,15.62,0.0,0.0,14.29,15.72
35-39,0.0,10.0,10.53,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,22.0,22.74,0.0,25.0,0.0,21.72
40-44,0.0,6.67,20.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11,25.05,0.0,28.57,50.0,26.79
45-49,0.0,18.75,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.03,25.93,0.0,20.0,0.0,24.15
50-54,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,12.5,0.0,0.0,40.0,0.0,26.6,26.4,0.0,50.0,14.29,25.5
55-59,0.0,13.64,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,0.0,28.76,28.69,0.0,14.29,22.22,28.06
60-64,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26,31.47,0.0,25.0,28.57,31.06
65-OVER,0.0,19.35,33.33,0.0,0.0,40.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,38.19,40.62,0.0,28.12,11.76,38.66
TOTAL,0.0,10.55,10.26,0.0,4.55,11.54,0.0,16.67,0.0,0.0,3.39,5.08,0.0,10.71,12.0,0.0,27.62,28.36,0.0,20.72,14.02,26.98
