COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
APPLING,0.00,25.00,20.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,10.00,13.00,0.00,3.00,1.00,0.00,2212.0,2015.0,0.00,322.0,184.0,4811.0
ATKINSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,73.00,0.00,28.00,18.00,189.0
BACON,0.00,39.00,35.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,5.00,0.00,0.00,2.00,0.00,1200.0,1128.0,0.00,135.0,59.00,2608.0
BAKER,0.00,6.00,4.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,352.0,347.0,0.00,303.0,193.0,1213.0
BALDWIN,0.00,42.00,35.00,0.00,4.00,5.00,0.00,0.00,0.00,0.00,7.00,6.00,0.00,10.00,7.00,0.00,1976.0,1773.0,0.00,1530.0,815.0,6210.0
BANKS,0.00,34.00,24.00,0.00,2.00,5.00,0.00,0.00,1.00,0.00,3.00,4.00,0.00,1.00,3.00,0.00,1533.0,1514.0,0.00,9.00,14.00,3147.0
BARROW,1.00,106.0,88.00,0.00,6.00,4.00,0.00,0.00,0.00,0.00,16.00,16.00,0.00,14.00,6.00,2.00,2622.0,2355.0,0.00,204.0,135.0,5575.0
BARTOW,1.00,207.0,210.0,0.00,10.00,10.00,0.00,1.00,3.00,0.00,24.00,18.00,0.00,5.00,11.00,2.00,4699.0,4831.0,0.00,206.0,153.0,10391.0
BEN HILL,0.00,12.00,8.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,4.00,0.00,0.00,721.0,732.0,0.00,386.0,194.0,2065.0
BERRIEN,0.00,16.00,17.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,7.00,2.00,0.00,2.00,0.00,0.00,1088.0,1073.0,0.00,108.0,70.00,2389.0
BIBB,2.00,172.0,189.0,0.00,29.00,24.00,0.00,1.00,4.00,0.00,30.00,26.00,0.00,34.00,23.00,0.00,7177.0,6152.0,0.00,6826.0,3675.0,24364.0
BLECKLEY,0.00,27.00,21.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,4.00,4.00,0.00,1317.0,1260.0,0.00,162.0,75.00,2880.0
BRANTLEY,0.00,17.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,2.00,0.00,1757.0,1658.0,0.00,39.00,25.00,3528.0
BROOKS,0.00,36.00,23.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,4.00,1.00,0.00,582.0,531.0,0.00,452.0,218.0,1852.0
BRYAN,0.00,97.00,90.00,0.00,12.00,3.00,0.00,1.00,1.00,0.00,15.00,23.00,0.00,6.00,10.00,0.00,1870.0,1626.0,0.00,178.0,133.0,4065.0
BULLOCH,0.00,193.0,180.0,0.00,6.00,10.00,0.00,0.00,0.00,0.00,12.00,12.00,0.00,11.00,4.00,1.00,4333.0,3830.0,0.00,715.0,428.0,9735.0
BURKE,0.00,33.00,25.00,0.00,2.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,1.00,0.00,1024.0,969.0,1.00,1360.0,750.0,4173.0
BUTTS,1.00,139.0,103.0,0.00,7.00,6.00,0.00,0.00,1.00,0.00,8.00,6.00,0.00,5.00,1.00,1.00,1679.0,1555.0,0.00,421.0,225.0,4158.0
CALHOUN,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,4.00,3.00,0.00,266.0,253.0,0.00,387.0,237.0,1156.0
CAMDEN,0.00,118.0,137.0,0.00,10.00,7.00,0.00,1.00,0.00,0.00,7.00,5.00,0.00,12.00,11.00,0.00,1246.0,1224.0,0.00,427.0,263.0,3468.0
CANDLER,0.00,11.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,2.00,0.00,621.0,521.0,0.00,104.0,59.00,1343.0
CARROLL,0.00,178.0,191.0,0.00,15.00,9.00,0.00,1.00,0.00,0.00,10.00,15.00,0.00,5.00,6.00,0.00,4198.0,4066.0,0.00,369.0,215.0,9278.0
CATOOSA,2.00,121.0,122.0,0.00,4.00,5.00,0.00,0.00,0.00,0.00,6.00,2.00,0.00,6.00,7.00,2.00,2762.0,2768.0,0.00,24.00,23.00,5854.0
CHARLTON,0.00,53.00,55.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,7.00,0.00,745.0,681.0,0.00,181.0,124.0,1856.0
CHATHAM,5.00,259.0,217.0,0.00,53.00,38.00,0.00,5.00,2.00,0.00,29.00,30.00,0.00,39.00,28.00,2.00,5941.0,5782.0,2.00,7092.0,3872.0,23396.0
