AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.0,597.0,697.0,0.0,45.0,43.0,0.0,4.0,2.0,1.0,118.0,116.0,0.0,13.0,22.0,6.0,1923.0,1766.0,0.0,288.0,261.0,5905.0
25-29,3.0,358.0,374.0,0.0,28.0,32.0,0.0,1.0,2.0,0.0,99.0,88.0,0.0,17.0,7.0,1.0,2245.0,2098.0,0.0,351.0,286.0,5990.0
30-34,1.0,308.0,313.0,0.0,21.0,22.0,0.0,1.0,3.0,0.0,65.0,43.0,0.0,18.0,20.0,1.0,2127.0,1778.0,0.0,339.0,288.0,5348.0
35-39,0.0,270.0,276.0,0.0,16.0,18.0,0.0,1.0,1.0,0.0,82.0,58.0,0.0,9.0,12.0,0.0,2084.0,1786.0,0.0,318.0,240.0,5171.0
40-44,2.0,232.0,245.0,0.0,15.0,7.0,0.0,2.0,1.0,0.0,64.0,71.0,0.0,16.0,14.0,1.0,2135.0,1915.0,0.0,372.0,245.0,5337.0
45-49,1.0,245.0,260.0,0.0,15.0,20.0,0.0,5.0,2.0,0.0,39.0,56.0,0.0,17.0,19.0,0.0,2573.0,2356.0,0.0,379.0,285.0,6272.0
50-54,1.0,252.0,267.0,0.0,15.0,9.0,0.0,2.0,2.0,0.0,44.0,59.0,0.0,17.0,15.0,1.0,2625.0,2337.0,0.0,355.0,270.0,6271.0
55-59,0.0,184.0,220.0,0.0,15.0,15.0,0.0,3.0,1.0,0.0,33.0,50.0,0.0,16.0,14.0,0.0,2451.0,2342.0,0.0,279.0,216.0,5839.0
60-64,0.0,148.0,161.0,0.0,6.0,10.0,0.0,2.0,3.0,0.0,29.0,27.0,0.0,17.0,9.0,2.0,2111.0,1955.0,1.0,214.0,177.0,4872.0
65-OVER,3.0,324.0,288.0,0.0,11.0,8.0,0.0,2.0,4.0,0.0,36.0,42.0,1.0,16.0,22.0,1.0,5297.0,4564.0,0.0,472.0,292.0,11383.0
TOTAL,14.0,2918.0,3101.0,0.0,187.0,184.0,0.0,23.0,21.0,1.0,609.0,610.0,1.0,156.0,154.0,13.0,25571.0,22897.0,1.0,3367.0,2560.0,62388.0
