AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,5.0,294.0,399.0,0.0,82.0,57.0,0.0,7.0,2.0,1.0,78.0,36.0,1.0,45.0,57.0,2.0,1459.0,1251.0,4.0,3086.0,2464.0,9330.0
25-29,3.0,273.0,247.0,0.0,62.0,44.0,0.0,4.0,3.0,0.0,52.0,38.0,0.0,43.0,41.0,0.0,1801.0,1587.0,0.0,3367.0,2525.0,10090.0
30-34,2.0,195.0,226.0,0.0,35.0,30.0,0.0,3.0,1.0,0.0,60.0,33.0,0.0,44.0,32.0,1.0,1693.0,1497.0,0.0,2917.0,1869.0,8638.0
35-39,0.0,152.0,178.0,0.0,30.0,31.0,0.0,1.0,1.0,1.0,36.0,25.0,0.0,37.0,40.0,0.0,1464.0,1361.0,1.0,2806.0,1780.0,7944.0
40-44,0.0,166.0,135.0,0.0,31.0,27.0,0.0,5.0,3.0,1.0,35.0,27.0,0.0,36.0,35.0,0.0,1441.0,1289.0,0.0,2500.0,1565.0,7296.0
45-49,2.0,110.0,150.0,0.0,17.0,23.0,0.0,1.0,2.0,0.0,32.0,22.0,0.0,43.0,35.0,1.0,1631.0,1449.0,0.0,2365.0,1567.0,7450.0
50-54,0.0,128.0,116.0,0.0,31.0,21.0,0.0,1.0,6.0,0.0,18.0,28.0,0.0,34.0,30.0,1.0,1875.0,1580.0,0.0,2564.0,1795.0,8228.0
55-59,1.0,115.0,138.0,0.0,27.0,14.0,0.0,2.0,4.0,0.0,31.0,23.0,1.0,32.0,43.0,1.0,2061.0,1823.0,0.0,2635.0,1821.0,8772.0
60-64,0.0,97.0,104.0,0.0,23.0,14.0,0.0,3.0,1.0,0.0,12.0,15.0,0.0,35.0,32.0,1.0,2105.0,1812.0,0.0,2184.0,1525.0,7963.0
65-OVER,3.0,214.0,175.0,0.0,31.0,29.0,0.0,4.0,5.0,0.0,27.0,14.0,0.0,54.0,66.0,1.0,6909.0,5148.0,0.0,4788.0,2900.0,20368.0
TOTAL,16.0,1744.0,1868.0,0.0,369.0,290.0,0.0,31.0,28.0,3.0,381.0,261.0,2.0,403.0,411.0,8.0,22439.0,18797.0,5.0,29212.0,19811.0,96079.0
