AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,16.0,23.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,99.0,86.0,2.0,73.0,51.0,356.0
25-29,0.0,11.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,127.0,81.0,0.0,82.0,56.0,387.0
30-34,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,121.0,106.0,0.0,84.0,45.0,371.0
35-39,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,86.0,0.0,68.0,22.0,305.0
40-44,0.0,9.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,107.0,95.0,0.0,57.0,47.0,331.0
45-49,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,119.0,103.0,0.0,52.0,39.0,334.0
50-54,0.0,10.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,127.0,127.0,0.0,79.0,38.0,392.0
55-59,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,121.0,0.0,70.0,60.0,392.0
60-64,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,140.0,123.0,0.0,50.0,42.0,371.0
65-OVER,0.0,11.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,357.0,316.0,0.0,95.0,73.0,875.0
TOTAL,1.0,92.0,126.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,6.0,3.0,0.0,1434.0,1244.0,2.0,710.0,473.0,4114.0
