PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1258,2.000,292.0,230.0,0.00,48.00,28.00,0.00,2.000,2.000,0.00,83.00,58.00,0.00,30.00,41.00,0.00,1567.0,1373.0,1.000,1011.0,780.0,5548.0
1259,3.000,87.00,74.00,0.00,14.00,4.000,0.00,0.00,0.00,0.00,22.00,17.00,0.00,6.000,6.000,0.00,375.0,324.0,0.00,373.0,311.0,1616.0
1260,1.000,128.0,147.0,1.000,18.00,11.00,0.00,2.000,1.000,0.00,17.00,18.00,0.00,7.000,5.000,1.000,1703.0,1603.0,2.000,245.0,228.0,4138.0
1270,4.000,223.0,221.0,0.00,31.00,21.00,0.00,1.000,0.00,0.00,50.00,50.00,0.00,15.00,9.000,0.00,239.0,220.0,2.000,1501.0,1017.0,3604.0
1271,0.00,104.0,139.0,0.00,19.00,11.00,0.00,0.00,1.000,0.00,26.00,13.00,0.00,6.000,9.000,2.000,1505.0,1354.0,1.000,208.0,172.0,3570.0
1272,4.000,208.0,184.0,0.00,36.00,39.00,0.00,1.000,1.000,0.00,74.00,53.00,0.00,18.00,9.000,1.000,1702.0,1549.0,1.000,608.0,440.0,4928.0
1273,1.000,155.0,153.0,0.00,20.00,11.00,0.00,1.000,0.00,1.000,60.00,48.00,0.00,15.00,6.000,1.000,960.0,823.0,2.000,740.0,509.0,3506.0
1274,0.00,67.00,76.00,0.00,5.000,9.000,0.00,0.00,1.000,0.00,26.00,25.00,0.00,5.000,10.00,0.00,546.0,472.0,0.00,246.0,202.0,1690.0
1275,1.000,317.0,270.0,0.00,32.00,30.00,0.00,2.000,0.00,0.00,67.00,42.00,0.00,26.00,22.00,1.000,656.0,596.0,1.000,1915.0,1303.0,5281.0
1276,0.00,94.00,115.0,0.00,17.00,11.00,0.00,0.00,1.000,0.00,39.00,39.00,0.00,8.000,6.000,0.00,695.0,582.0,1.000,535.0,409.0,2552.0
729,2.000,222.0,181.0,0.00,38.00,16.00,0.00,2.000,1.000,0.00,57.00,30.00,0.00,8.000,7.000,0.00,394.0,298.0,0.00,1782.0,1122.0,4160.0
730,1.000,261.0,226.0,0.00,45.00,25.00,0.00,2.000,4.000,0.00,64.00,38.00,0.00,27.00,23.00,0.00,1159.0,885.0,3.000,1377.0,801.0,4941.0
731,1.000,116.0,149.0,0.00,15.00,12.00,0.00,0.00,0.00,0.00,31.00,20.00,0.00,11.00,9.000,0.00,950.0,813.0,1.000,493.0,372.0,2993.0
732,1.000,134.0,123.0,0.00,21.00,10.00,0.00,0.00,1.000,0.00,41.00,22.00,0.00,0.00,5.000,0.00,197.0,137.0,3.000,1207.0,758.0,2660.0
733,1.000,132.0,112.0,0.00,26.00,16.00,0.00,0.00,2.000,0.00,45.00,30.00,0.00,26.00,12.00,1.000,670.0,603.0,0.00,660.0,442.0,2778.0
734,1.000,102.0,88.00,0.00,12.00,11.00,0.00,0.00,0.00,0.00,31.00,30.00,0.00,6.000,2.000,0.00,809.0,661.0,0.00,376.0,249.0,2378.0
735,0.00,131.0,144.0,0.00,18.00,16.00,0.00,1.000,0.00,0.00,43.00,42.00,0.00,8.000,9.000,0.00,1265.0,1088.0,1.000,356.0,304.0,3426.0
