AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,12.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,82.0,102.0,0.0,13.0,5.0,236.0
25-29,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,39.0,40.0,0.0,12.0,4.0,109.0
30-34,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,47.0,0.0,12.0,6.0,149.0
35-39,0.0,10.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,10.0,7.0,176.0
40-44,0.0,16.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,110.0,89.0,0.0,21.0,9.0,267.0
45-49,0.0,25.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,209.0,181.0,0.0,35.0,16.0,515.0
50-54,0.0,30.0,29.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,380.0,312.0,0.0,35.0,21.0,821.0
55-59,0.0,32.0,32.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,2.0,0.0,485.0,432.0,0.0,50.0,28.0,1081.0
60-64,0.0,34.0,27.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,569.0,524.0,0.0,73.0,59.0,1302.0
65-OVER,0.0,83.0,124.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,1952.0,2034.0,0.0,146.0,126.0,4499.0
TOTAL,1.0,262.0,305.0,0.0,23.0,23.0,0.0,2.0,0.0,0.0,22.0,22.0,0.0,20.0,12.0,0.0,3947.0,3828.0,0.0,407.0,281.0,9155.0
