AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,3.23,0.69,0.41,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.5,0.0,1.01,0.88,0.0,0.0,0.0,0.8
25-29,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.26,0.31,0.0,0.0,0.0,0.25
30-34,0.0,0.62,0.33,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.74,0.56,0.0,0.0,0.0,0.58
35-39,0.0,0.5,0.55,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.52,0.0,1.32,0.95,0.0,0.0,0.0,0.9
40-44,0.0,1.05,0.91,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.39,0.0,2.0,1.95,0.0,0.0,0.47,1.54
45-49,0.0,0.9,1.32,0.0,1.52,1.15,0.0,0.0,0.0,0.0,0.97,2.34,0.0,0.87,0.85,0.0,2.56,1.97,0.0,0.0,0.0,1.95
50-54,0.0,2.05,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,1.09,0.0,0.0,2.95,2.62,0.0,0.0,0.0,2.46
55-59,0.0,1.51,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,2.84,2.76,0.0,0.0,0.0,2.41
60-64,0.0,1.9,1.75,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,3.0,0.0,0.88,0.0,2.73
65-OVER,0.0,2.77,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.52,0.0,0.54,1.98,0.0,3.94,5.8,0.0,0.0,1.67,4.4
TOTAL,1.14,1.22,1.06,0.0,0.66,0.87,0.0,0.0,0.0,0.0,0.67,0.62,0.0,0.34,0.54,1.14,2.4,2.54,0.0,0.06,0.21,2.07
