AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,116.0,4699.0,4765.0,2.0,726.0,517.0,0.0,37.0,39.0,2.0,947.0,785.0,4.0,998.0,935.0,57.0,9871.0,9365.0,53.0,16069.0,12460.0,62447.0
25-29,84.0,6353.0,6063.0,1.0,927.0,699.0,0.0,28.0,17.0,3.0,1003.0,798.0,6.0,914.0,899.0,31.0,14741.0,13414.0,16.0,19299.0,14708.0,80004.0
30-34,46.0,7229.0,6677.0,2.0,864.0,649.0,0.0,21.0,14.0,2.0,824.0,720.0,3.0,920.0,774.0,15.0,14448.0,13412.0,17.0,17794.0,13410.0,77841.0
35-39,38.0,5985.0,5647.0,1.0,764.0,572.0,0.0,23.0,14.0,2.0,753.0,618.0,3.0,923.0,625.0,16.0,12258.0,11713.0,9.0,17107.0,12625.0,69696.0
40-44,25.0,5179.0,4919.0,0.0,604.0,499.0,0.0,20.0,21.0,1.0,690.0,557.0,5.0,1109.0,853.0,9.0,11844.0,11912.0,10.0,14930.0,11591.0,64778.0
45-49,25.0,4593.0,5048.0,1.0,548.0,547.0,0.0,20.0,14.0,4.0,596.0,551.0,4.0,1017.0,1030.0,11.0,13943.0,14642.0,10.0,13736.0,11365.0,67705.0
50-54,20.0,3818.0,4124.0,1.0,455.0,493.0,1.0,9.0,7.0,2.0,426.0,501.0,1.0,818.0,932.0,13.0,14043.0,14340.0,3.0,12918.0,10890.0,63815.0
55-59,16.0,3123.0,3328.0,3.0,427.0,445.0,0.0,14.0,6.0,0.0,318.0,324.0,4.0,517.0,613.0,9.0,13402.0,13286.0,13.0,11894.0,9531.0,57273.0
60-64,11.0,2362.0,2289.0,3.0,298.0,298.0,0.0,7.0,6.0,1.0,248.0,192.0,1.0,307.0,359.0,3.0,11277.0,10752.0,8.0,10932.0,7889.0,47243.0
65-OVER,58.0,5512.0,4372.0,0.0,501.0,450.0,0.0,8.0,9.0,2.0,386.0,298.0,1.0,578.0,642.0,17.0,29333.0,23926.0,13.0,25301.0,15493.0,106900.0
TOTAL,439.0,48853.0,47232.0,14.0,6114.0,5169.0,1.0,187.0,147.0,19.0,6191.0,5344.0,32.0,8101.0,7662.0,181.0,145160.0,136762.0,152.0,159980.0,119962.0,697702.0
