AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,27.97,12.50,25.00
25-29,0.00,6.670,0.00,0.00,0.00,12.60,0.00,11.33
30-34,0.00,16.67,0.00,0.00,0.00,30.25,0.00,28.91
35-39,0.00,20.00,0.00,0.00,0.00,30.50,20.00,29.61
40-44,0.00,0.00,0.00,0.00,0.00,38.96,0.00,35.50
45-49,0.00,25.00,0.00,0.00,0.00,32.75,14.29,31.41
50-54,0.00,27.27,0.00,0.00,0.00,39.61,25.00,37.36
55-59,0.00,27.78,0.00,0.00,0.00,37.64,0.00,36.36
60-64,0.00,33.33,0.00,0.00,0.00,46.81,14.29,44.81
65-OVER,0.00,16.67,0.00,0.00,0.00,49.10,20.00,47.34
TOTAL,0.00,17.74,0.00,0.00,0.00,37.06,11.32,34.96
