AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,33.33,9.45,3.70,5.65
25-29,0.00,0.00,0.00,0.00,0.00,7.51,7.69,4.38
30-34,0.00,0.00,0.00,0.00,0.00,8.61,0.00,4.75
35-39,0.00,0.00,10.00,0.00,0.00,17.19,12.50,10.64
40-44,0.00,0.00,9.09,0.00,0.00,20.77,12.50,13.03
45-49,0.00,1.83,0.00,0.00,0.00,17.39,23.53,12.79
50-54,0.00,0.00,0.00,0.00,0.00,15.72,6.67,9.94
55-59,0.00,0.00,0.00,0.00,0.00,15.82,6.67,10.36
60-64,0.00,0.82,0.00,0.00,0.00,25.27,9.09,17.42
65-OVER,0.00,0.33,0.00,0.00,0.00,27.36,13.04,19.13
TOTAL,0.00,0.26,2.94,0.00,4.17,18.34,9.09,11.84
