AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,1.0,63.0,70.0,0.0,10.0,9.0,0.0,0.0,1.0,0.0,37.0,20.0,0.0,1.0,3.0,1.0,235.0,262.0,0.0,684.0,601.0,1998.0
25-29,0.0,35.0,55.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,38.0,16.0,0.0,4.0,8.0,0.0,315.0,314.0,0.0,649.0,576.0,2033.0
30-34,1.0,30.0,32.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,25.0,18.0,0.0,2.0,4.0,0.0,273.0,290.0,1.0,365.0,326.0,1374.0
35-39,1.0,23.0,24.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,24.0,10.0,0.0,4.0,4.0,0.0,262.0,244.0,0.0,339.0,241.0,1184.0
40-44,0.0,22.0,22.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,12.0,11.0,0.0,3.0,3.0,1.0,267.0,253.0,0.0,295.0,246.0,1140.0
45-49,0.0,18.0,16.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,12.0,16.0,0.0,3.0,4.0,0.0,363.0,309.0,0.0,291.0,236.0,1276.0
50-54,0.0,18.0,24.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,9.0,11.0,0.0,7.0,2.0,0.0,433.0,423.0,0.0,338.0,255.0,1529.0
55-59,0.0,24.0,25.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,1.0,4.0,0.0,469.0,459.0,0.0,321.0,260.0,1593.0
60-64,0.0,23.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,5.0,3.0,0.0,442.0,375.0,0.0,290.0,240.0,1409.0
65-OVER,1.0,31.0,31.0,0.0,7.0,4.0,0.0,2.0,4.0,0.0,7.0,7.0,0.0,12.0,3.0,0.0,1262.0,1106.0,0.0,763.0,468.0,3708.0
TOTAL,4.0,287.0,311.0,0.0,48.0,42.0,0.0,5.0,13.0,0.0,183.0,128.0,0.0,42.0,38.0,2.0,4321.0,4035.0,1.0,4335.0,3449.0,17244.0
