AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,4.17,1.13,1.12,33.33,0.00,5.84,4.40,3.79
25-29,0.00,1.80,0.00,33.33,0.00,4.68,0.76,3.20
30-34,0.00,2.07,0.00,0.00,4.76,7.77,2.23,5.14
35-39,5.00,1.95,2.50,0.00,3.57,10.35,2.67,6.72
40-44,4.17,2.26,2.44,0.00,4.76,12.14,2.27,7.89
45-49,0.00,2.90,2.13,0.00,4.76,17.61,5.88,11.70
50-54,4.00,4.12,4.00,0.00,15.38,19.73,6.04,13.68
55-59,13.33,5.57,14.81,0.00,9.52,23.58,4.96,17.11
60-64,16.67,7.20,13.04,0.00,0.00,27.77,3.88,20.78
65-OVER,6.82,10.13,18.75,0.00,11.54,35.25,11.07,29.46
TOTAL,5.12,4.06,4.09,10.00,4.49,20.78,4.52,14.44
