AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,41.0,39.0,0.0,89.0,86.0,265.0
25-29,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,44.0,0.0,84.0,64.0,238.0
30-34,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,46.0,0.0,92.0,51.0,234.0
35-39,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,36.0,40.0,0.0,69.0,72.0,230.0
40-44,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,31.0,1.0,78.0,56.0,207.0
45-49,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,49.0,0.0,88.0,55.0,236.0
50-54,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,54.0,50.0,0.0,99.0,100.0,312.0
55-59,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,67.0,57.0,0.0,87.0,83.0,305.0
60-64,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,64.0,66.0,0.0,90.0,67.0,296.0
65-OVER,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,188.0,166.0,0.0,243.0,166.0,778.0
TOTAL,0.0,31.0,34.0,0.0,7.0,4.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,7.0,3.0,0.0,587.0,588.0,1.0,1019.0,800.0,3101.0
