AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,4.16,0.0,0.0,0.17,2.02
25-29,0.0,2.88,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,1.98,0.0,0.0,0.0,1.05
30-34,0.0,0.0,3.81,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,4.0,0.0,0.24,0.0,2.21
35-39,0.0,3.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,4.65,0.0,0.13,0.0,3.0
40-44,0.0,1.28,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,6.86,7.33,0.0,0.14,0.0,4.4
45-49,0.0,4.35,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,5.56,0.0,7.14,0.0,0.0,9.32,9.86,0.0,0.74,0.6,6.48
50-54,0.0,3.57,3.37,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11,11.19,0.0,0.53,1.65,7.55
55-59,0.0,5.8,3.64,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.04,13.73,0.0,0.86,0.2,9.57
60-64,0.0,8.89,3.08,0.0,0.0,20.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,17.97,22.02,0.0,1.82,0.92,13.77
65-OVER,0.0,4.44,10.26,0.0,0.0,10.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,13.33,0.0,0.0,25.06,28.5,0.0,1.34,1.1,20.24
TOTAL,0.0,3.18,4.0,0.0,0.76,2.97,0.0,0.0,20.0,0.0,2.0,1.32,0.0,2.56,0.0,0.0,12.73,13.79,0.0,0.57,0.47,8.47
