PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1,0.00,4.650,8.510,0.00,0.00,25.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,8.710,10.46,0.00,0.00,0.00,9.300
10,0.00,5.560,6.980,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,12.77,0.00,0.00,0.00,11.76
11,0.00,8.700,15.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,14.59,14.57,0.00,0.00,0.00,14.31
2,0.00,6.820,14.29,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.81,15.47,0.00,0.00,0.00,13.29
3,0.00,10.34,22.22,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.79,13.31,0.00,0.00,0.00,13.09
4,0.00,2.700,7.410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.04,13.51,0.00,0.00,0.00,12.31
5,0.00,0.00,18.75,0.00,0.00,0.00,0.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.34,16.79,0.00,0.00,0.00,15.33
6,0.00,0.00,9.520,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,12.08,15.33,0.00,0.00,0.00,13.22
7,0.00,10.34,13.33,0.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,7.000,10.61,0.00,0.00,0.00,8.940
8,0.00,10.00,20.69,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.87,11.88,0.00,0.00,0.00,11.43
9,100.0,11.36,8.570,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.14,14.46,0.00,0.00,0.00,14.54
TOTAL,50.00,6.960,12.83,0.00,8.700,25.00,0.00,50.00,0.00,0.00,1.850,5.560,0.00,3.030,0.00,0.00,11.56,13.21,0.00,0.00,0.00,12.15
