AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,7.0,483.0,550.0,0.0,43.0,25.0,0.0,5.0,6.0,4.0,621.0,531.0,0.0,31.0,17.0,5.0,1398.0,1266.0,0.0,95.0,91.0,5178.0
25-29,0.0,327.0,353.0,0.0,35.0,20.0,0.0,2.0,0.0,1.0,460.0,360.0,0.0,17.0,22.0,1.0,1479.0,1357.0,0.0,114.0,86.0,4634.0
30-34,0.0,264.0,273.0,0.0,19.0,14.0,0.0,0.0,2.0,0.0,390.0,267.0,0.0,21.0,17.0,0.0,1276.0,1101.0,0.0,85.0,79.0,3808.0
35-39,0.0,233.0,227.0,0.0,20.0,19.0,0.0,1.0,1.0,0.0,285.0,226.0,0.0,16.0,15.0,0.0,1375.0,1073.0,0.0,94.0,89.0,3674.0
40-44,0.0,209.0,210.0,0.0,17.0,17.0,0.0,1.0,0.0,0.0,172.0,186.0,0.0,18.0,17.0,0.0,1475.0,1244.0,0.0,97.0,72.0,3735.0
45-49,2.0,211.0,221.0,0.0,14.0,13.0,0.0,0.0,1.0,0.0,147.0,248.0,0.0,21.0,20.0,3.0,1677.0,1441.0,0.0,95.0,83.0,4197.0
50-54,0.0,180.0,189.0,0.0,14.0,20.0,0.0,1.0,0.0,0.0,125.0,232.0,0.0,15.0,15.0,0.0,1826.0,1627.0,0.0,91.0,86.0,4421.0
55-59,0.0,149.0,160.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,84.0,164.0,0.0,14.0,11.0,2.0,1732.0,1604.0,0.0,102.0,81.0,4116.0
60-64,0.0,107.0,115.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,69.0,120.0,0.0,6.0,14.0,1.0,1744.0,1403.0,0.0,104.0,79.0,3779.0
65-OVER,0.0,231.0,227.0,0.0,11.0,12.0,0.0,1.0,4.0,0.0,90.0,179.0,0.0,27.0,29.0,0.0,4689.0,3931.0,0.0,191.0,133.0,9755.0
TOTAL,9.0,2394.0,2525.0,1.0,183.0,157.0,0.0,12.0,15.0,5.0,2443.0,2513.0,0.0,186.0,177.0,12.0,18671.0,16047.0,0.0,1068.0,879.0,47297.0
