COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATKINSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BACON,11.76,7.300,3.700,33.33,5.000,37.01,19.27,31.47
BAKER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BALDWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BANKS,1.320,1.550,0.00,0.00,0.00,12.53,1.580,11.52
BARROW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BARTOW,1.610,0.940,0.820,4.550,1.890,7.960,2.450,6.550
BEN HILL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERRIEN,0.00,1.110,2.910,0.00,2.380,13.38,4.450,11.59
BIBB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLECKLEY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BRANTLEY,18.18,17.27,7.500,0.00,6.670,30.72,8.380,29.28
BROOKS,4.170,11.94,0.00,12.50,0.00,4.000,4.050,6.860
BRYAN,3.400,1.630,3.090,3.700,2.510,9.750,4.430,7.890
BULLOCH,2.900,0.790,2.320,0.00,2.080,15.88,4.410,10.84
BURKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BUTTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CALHOUN,0.00,18.59,0.00,0.00,0.00,11.34,6.250,15.44
CAMDEN,0.00,0.100,0.00,0.00,0.240,0.130,0.060,0.110
CANDLER,5.000,0.860,0.940,0.00,0.00,25.33,6.230,17.91
CARROLL,0.630,0.530,1.120,0.00,2.640,12.00,3.610,9.020
CATOOSA,3.280,1.330,0.680,0.00,2.270,10.19,3.230,9.170
CHARLTON,0.00,0.080,0.00,0.00,0.00,0.00,0.00,0.020
CHATHAM,0.050,1.720,0.00,0.720,0.050,0.230,0.140,0.770
CHATTAHOOCHEE,4.760,20.39,0.470,25.00,2.740,23.49,10.68,19.84
CHATTOOGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHEROKEE,0.250,0.170,0.280,1.920,0.450,1.240,0.560,1.090
CLARKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CLAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CLAYTON,0.290,3.450,0.540,3.530,1.230,1.460,1.500,2.840
CLINCH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COBB,2.380,0.880,1.610,2.290,3.510,12.74,2.070,8.170
COFFEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COLQUITT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COLUMBIA,1.850,0.690,1.810,4.490,1.620,9.070,2.610,6.850
COOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COWETA,2.570,0.430,1.490,0.00,3.090,12.00,4.820,9.240
CRAWFORD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRISP,4.290,1.510,0.00,0.00,7.690,24.55,7.020,14.18
DADE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DAWSON,8.330,3.080,10.42,0.00,25.45,24.04,10.78,22.99
DECATUR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEKALB,1.010,6.010,1.260,0.740,2.120,5.030,1.680,5.070
DODGE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOOLY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOUGHERTY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOUGLAS,0.00,0.880,0.050,0.00,0.470,0.090,0.310,0.430
EARLY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ECHOLS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EFFINGHAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ELBERT,0.00,0.170,0.00,0.00,9.090,6.930,2.070,4.760
EMANUEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EVANS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FANNIN,2.860,3.330,0.00,7.140,8.890,13.54,6.430,13.17
FAYETTE,2.340,4.190,2.840,4.650,4.920,14.39,5.750,10.87
FLOYD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORSYTH,0.440,0.120,0.650,0.00,0.760,2.460,1.140,2.070
FRANKLIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FULTON,0.550,7.800,0.900,1.490,1.570,2.050,2.420,4.350
GILMER,0.00,0.00,0.760,0.00,8.220,12.71,5.720,12.10
GLASCOCK,0.00,17.74,0.00,0.00,0.00,37.06,11.32,34.96
GLYNN,3.630,0.450,1.580,0.00,2.940,15.90,6.600,11.44
GORDON,1.860,1.630,0.570,5.880,2.540,8.830,1.440,7.950
GRADY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GREENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GWINNETT,0.00,0.00,0.00,0.00,0.00,0.010,0.00,0.00
HABERSHAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HALL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HANCOCK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HARALSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HARRIS,1.430,0.510,2.170,0.00,0.00,9.700,2.980,7.750
HART,0.00,0.040,2.440,0.00,0.00,6.370,2.730,5.130
HEARD,0.00,1.100,0.00,12.50,0.00,10.57,3.230,9.180
HENRY,0.880,0.390,0.410,1.960,1.290,7.600,1.930,3.950
HOUSTON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IRWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JACKSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JASPER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JEFF DAVIS,6.670,0.00,0.00,0.00,0.00,3.620,1.500,2.930
JEFFERSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JENKINS,0.00,1.240,0.00,0.00,0.00,3.810,1.200,2.680
JOHNSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JONES,2.500,0.290,0.00,0.00,3.030,7.120,0.910,5.230
LAMAR,3.120,0.250,0.00,0.00,7.270,10.13,2.600,7.140
LANIER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LAURENS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LIBERTY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LINCOLN,5.560,0.00,0.00,0.00,12.50,9.950,6.250,6.900
LONG,1.270,0.960,0.640,0.00,1.200,5.160,2.470,3.620
LOWNDES,0.180,1.990,0.340,6.250,0.940,0.840,0.350,1.200
LUMPKIN,2.820,1.320,1.960,19.57,1.230,13.24,5.260,12.45
MCDUFFIE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCINTOSH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MACON,11.11,20.10,0.00,0.00,4.170,35.01,5.230,24.53
MADISON,11.49,3.500,4.860,20.00,6.490,29.16,11.15,25.48
MARION,0.00,0.260,2.940,0.00,4.170,18.34,9.090,11.84
MERIWETHER,7.690,0.110,0.00,0.00,2.170,10.98,3.300,6.410
MILLER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MITCHELL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MONROE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MONTGOMERY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MORGAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MURRAY,0.00,0.00,0.870,0.00,6.320,12.66,5.090,11.45
MUSCOGEE,0.060,0.030,0.320,1.180,0.120,2.550,0.250,1.140
NEWTON,2.460,7.780,0.780,0.00,1.660,5.470,2.120,6.110
OCONEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OGLETHORPE,15.00,0.850,6.150,33.33,4.760,30.96,11.17,25.07
PAULDING,2.710,0.980,1.110,2.560,1.870,8.660,2.810,6.610
PEACH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PICKENS,1.470,2.560,1.730,0.00,0.00,8.380,2.110,7.980
PIERCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PIKE,6.900,2.640,7.690,12.50,6.670,14.64,7.240,12.93
POLK,0.00,0.980,0.00,0.00,2.130,7.130,2.520,6.060
PULASKI,15.00,14.63,20.00,0.00,15.79,41.51,11.48,33.02
PUTNAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QUITMAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RABUN,2.700,9.620,0.880,0.00,9.680,21.26,16.52,20.70
RANDOLPH,0.00,0.040,0.00,0.00,0.00,0.00,0.00,0.020
RICHMOND,0.00,0.00,0.00,0.00,0.00,0.040,0.020,0.010
ROCKDALE,2.910,13.73,2.440,6.250,4.800,5.070,6.220,9.200
SCHLEY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SCREVEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEMINOLE,0.00,0.100,0.00,0.00,0.00,0.130,0.00,0.120
SPALDING,5.120,4.060,4.090,10.00,4.490,20.78,4.520,14.44
STEPHENS,1.980,1.280,0.00,0.00,0.00,9.400,3.750,8.240
STEWART,0.00,1.040,0.00,0.00,0.00,0.170,0.00,0.680
SUMTER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TALBOT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TALIAFERRO,0.00,0.00,0.00,0.00,16.67,1.070,3.330,0.560
TATTNALL,8.820,6.780,0.730,0.00,0.00,6.240,4.210,6.100
TAYLOR,0.00,11.16,0.00,0.00,0.00,0.280,1.630,4.370
TELFAIR,0.00,18.80,2.380,0.00,16.67,10.97,9.520,13.46
TERRELL,28.57,24.55,17.39,100.0,22.73,40.07,19.89,30.26
THOMAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TIFT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOOMBS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOWNS,4.000,0.00,6.450,0.00,7.140,14.05,10.16,13.78
TREUTLEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TROUP,1.200,0.530,1.660,12.50,1.680,13.21,3.590,8.470
TURNER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWIGGS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UNION,2.330,0.00,3.330,20.00,16.28,12.33,10.12,12.15
UPSON,0.00,1.460,1.790,0.00,12.28,26.13,4.950,18.00
WALKER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WALTON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WARE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WARREN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WASHINGTON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WAYNE,5.080,3.590,1.850,0.00,3.900,22.58,6.790,17.90
WEBSTER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WHEELER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WHITE,0.00,0.00,0.00,0.00,0.00,1.650,1.100,1.590
WHITFIELD,2.200,0.560,0.160,0.00,0.290,6.430,1.600,4.950
WILCOX,0.00,3.200,5.130,50.00,10.00,41.94,13.16,29.52
WILKES,0.00,0.00,0.00,0.00,0.00,1.490,0.630,0.870
WILKINSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WORTH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,0.750,3.020,0.640,1.580,1.430,5.330,1.750,4.110
